fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-14,23113000,197340000,4.33,,,28688000.0,12274000,0.11712273234012364,,16414000.0,,
2011-12-31,2012-03-14,30984000,212858000,5.78,,,17049000.0,18912000,0.1455618299523626,,-1863000.0,,
2012-12-31,2013-03-15,29286000,241069000,5.45,,,50385000.0,21043000,0.12148389050437841,,29342000.0,,
2013-12-31,2014-03-14,20587000,252330000,3.77,,,18223000.0,21034000,0.0815876035350533,,-2811000.0,,
2014-12-31,2016-03-11,12861000,242925000,2.39,,,,17663000,0.05294226613152207,,,,
2015-12-31,2016-03-11,6675000,218984000,1.24,,,,10754000,0.030481679026778213,,,,
2016-12-31,2017-03-10,15255000,223543000,2.95,,,25974000.0,24725000,0.06824190424213686,,1249000.0,,
2017-12-31,2018-03-09,12654000,238537000,2.47,,,33830000.0,11233000,0.05304837404679358,,22597000.0,,
2018-12-31,2019-03-08,26581000,249370000,5.21,,,22976000.0,9528000,0.10659261338573205,,13448000.0,,
2019-12-31,2020-03-06,23303000,268535000,4.58,,,27217000.0,29467000,0.08677825981715605,,-2250000.0,,
2020-12-31,2021-03-05,29803000,292078000,5.98,,,41642000.0,24569000,0.10203781181739124,,17073000.0,,
2021-12-31,2022-03-04,35729000,316117000,7.19,,,33598000.0,18384000,0.11302460797742608,,15214000.0,,
2022-12-31,2023-03-03,54395000,358637000,10.88,,,26153000.0,40598000,0.1516714672496145,,-14445000.0,,
2023-12-31,2024-03-08,63332000,416164000,12.68,,,107642000.0,35332000,0.15218039042300632,,72310000.0,,
2024-12-31,2025-03-13,37094000,422315000,7.5,,,67480000.0,14651000,0.08783490996057446,,52829000.0,,
2025-12-31,2026-03-05,35283000,475518000,7.14,,,73467000.0,40132000,0.07419908394634904,,33335000.0,,
