fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2014-12-31,2017-03-20,-277000,16074000,,,,,46000,-0.017232798307826303,,,,
2015-12-31,2017-03-20,-2811000,13665000,,,,-3317000.0,86000,-0.20570801317233808,,-3403000.0,,
2016-12-31,2017-03-20,-9518000,25298000,,,1016000.0,-8051000.0,64000,-0.37623527551585106,,-8115000.0,,0.04016127757134951
2017-12-31,2018-03-16,-25567000,45995000,,,3826000.0,-11087000.0,2551000,-0.5558647679095554,,-13638000.0,,0.08318295466898576
2018-12-31,2019-03-14,-37545000,66334000,,,4306000.0,-23896000.0,276000,-0.5659993366900835,,-24172000.0,,0.06491392046311092
2019-12-31,2020-03-16,-46971000,30737000,,,11178000.0,-34185000.0,608000,-1.528158245762436,,-34793000.0,,0.36366594007222564
2020-12-31,2021-03-12,-49851000,22894000,-2.14,,18399000.0,-35365000.0,441000,-2.1774700794968114,,-35806000.0,,0.8036603476893509
2021-12-31,2022-03-31,-63660000,35690000,-2.28,,18559000.0,-54097000.0,437000,-1.783692911179602,,-54534000.0,,0.5200056038105912
2022-12-31,2023-03-31,-58505000,-2248000,-1.72,,80125000.0,-47013000.0,401000,26.02535587188612,,-47414000.0,,
2023-12-31,2024-03-28,-42210000,44360000,-0.88,,14794000.0,-33041000.0,121000,-0.9515329125338142,,-33162000.0,,0.3334986474301172
2024-12-31,2025-03-31,-53585000,114862000,-0.92,,17598000.0,-36343000.0,125000,-0.4665163413487489,,-36468000.0,,0.15320993888318155
2025-12-31,2026-02-19,-72781000,80656000,-1.08,,13883000.0,-54122000.0,315000,-0.90236312239635,,-54437000.0,,0.1721260662566951
