fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-03-31,2012-06-14,12745000,185106000,1.5,,0.06885244130390154,
2011-03-31,2012-06-14,23727000,211977000,2.82,,0.11193195488189757,
2012-03-31,2012-06-14,23367000,219627000,2.84,,0.1063940225928506,
2013-03-31,2013-06-06,34830000,238232000,4.32,,0.14620202155881662,
2014-03-31,2014-06-04,35273000,266383000,4.37,,0.13241460603717203,
2015-03-31,2015-05-29,45840000,279262000,6.19,,0.16414693012296697,
2016-03-31,2016-05-26,44747000,318878000,6.09,,0.14032639442043665,
2017-03-31,2017-05-25,50556000,345918000,3.6,,0.14615024369937385,
2018-03-31,2018-05-25,55122000,372603000,3.95,,0.14793761724945853,
2019-03-31,2019-05-23,63192000,424253000,4.65,,0.14894885834631694,
2020-03-31,2020-05-22,69082000,486145000,5.15,,0.14210163634306636,
2021-03-31,2021-05-21,74397000,562410000,5.54,,0.13228249853309862,
2022-03-31,2022-05-26,105600000,660738000,3.93,,0.15982129073853782,
2023-03-31,2023-05-25,119356000,782265000,4.48,,0.15257745137517337,
2024-03-31,2024-05-23,115776000,901779000,4.33,,0.12838622323207793,
2025-03-31,2025-05-22,107978000,977623000,4.05,,0.11044952911296073,
2026-03-31,2026-05-28,132636000,1068970000,5.03,,0.1240783183812455,
