fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2008-09-27,2010-11-19,84144000,473945000,1.92,,0.17753958792686916,
2009-10-03,2010-11-19,46327000,527446000,1.17,,0.08783268808560497,
2010-10-02,2010-11-19,89533000,651855000,2.19,,0.13735109802026524,
2011-10-01,2011-11-17,89256000,558882000,2.3,,0.15970455301834735,
2012-09-29,2012-11-19,62089000,649022000,1.75,,0.09566547821183258,
2013-09-28,2013-11-22,82259000,699301000,2.36,,0.11763031941896265,
2014-09-27,2014-11-17,87213000,781133000,2.52,,0.1116493606082447,
2015-10-03,2015-11-20,94332000,842272000,2.74,,0.11199707457923332,
2016-10-01,2016-11-18,76427000,916797000,2.24,,0.08336305637998379,
2017-09-30,2017-11-17,112062000,1025939000,3.24,,0.10922871632718904,
2018-09-29,2018-11-16,13040000,921143000,0.38,,0.01415632534796443,
2019-09-28,2019-11-15,108616000,865576000,3.5,,0.12548407072284815,
2020-10-03,2020-11-20,117479000,977480000,3.93,,0.12018557924458813,
2021-10-02,2021-11-19,138912000,1028232000,4.76,,0.13509791564549634,
2022-10-01,2022-11-18,138243000,1095731000,4.86,,0.1261650897893735,
2023-09-30,2023-11-17,139094000,1214382000,4.95,,0.11453891773758175,
2024-09-28,2024-11-15,111815000,1324825000,4.01,,0.084399826392165,
2025-09-27,2025-11-14,172885000,1454588000,6.26,,0.11885496099239097,
