fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-09-30,2012-12-13,92000000,2061700000,2.67,,,135600000,,0.04462336906436436,,,,
2011-09-30,2012-12-13,-424300000,1434700000,-12.33,,1288500000.0,143800000,,-0.2957412699519063,,,,0.8980971631700007
2012-09-30,2012-12-13,49900000,1231500000,1.45,,1500800000.0,144000000,,0.04051969143321153,,,,1.2186764108810393
2013-09-30,2013-11-27,15200000,1498600000,0.3,,1975200000.0,119200000,,0.010142799946616843,,,,1.3180301614840517
2014-09-30,2014-11-28,-343200000,2283200000,-9.03,,5447900000.0,183100000,,-0.15031534688156972,,,,2.386080939032936
2015-09-30,2015-11-25,-115300000,2976000000,-2.33,,6244400000.0,451600000,,-0.03874327956989247,,,,2.098252688172043
2016-09-30,2016-11-18,-3300000,3008600000,-0.41,,6352000000.0,502400000,,-0.0010968556803829022,,,,2.1112809944824837
2017-09-30,2017-11-17,48300000,2780000000,0.5,,9087100000.0,386700000,,0.01737410071942446,,,,3.2687410071942447
2018-09-30,2018-11-16,467300000,3050400000,6.16,,9997000000.0,719300000,,0.15319302386572253,,,,3.277275111460792
2019-09-30,2019-11-22,124700000,2925900000,1.66,,9014300000.0,688000000,,0.04261936498171503,,,,3.080864007655764
2020-09-30,2020-11-20,800000,2854500000,0.01,,9317700000.0,625600000,,0.00028025923979681206,,,,3.2642143983184444
2021-09-30,2021-11-19,166700000,2742400000,2.38,,9355500000.0,588200000,,0.06078617269544924,,,,3.4114279463243875
2022-09-30,2022-11-17,756600000,3254000000,12.09,,7735700000.0,382600000,,0.23251382913337432,,,,2.3772894898586356
2023-09-30,2023-11-17,301300000,3842100000,4.82,,7795400000.0,750300000,,0.07842065537076078,,,,2.028942505400692
2024-09-30,2024-11-15,366700000,4090600000,5.64,,8752900000.0,931700000,,0.0896445509216252,,,,2.139759448491664
2025-09-30,2025-11-21,335700000,3753100000,5.51,,9764600000.0,998300000,,0.0894460579254483,,,,2.6017425594841597
