fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-04-16,-33853,-202616,,,,,,0.16707959884708018,,,,
2011-12-31,2012-04-16,-60390,-228859,,,,,,0.2638742631926208,,,,
2015-12-31,2017-03-16,-20031,-318815,,,318815.0,-1520.0,,0.06282954064269247,,,,
2016-12-31,2017-03-16,-333488,-625575,,,,-19794.0,0.0,0.533090356871678,,-19794.0,,
2017-12-31,2018-04-11,-5788901,2503957,,,2413547.0,-3279367.0,304188.0,-2.3119011229026696,,-3583555.0,,0.963893149922303
2018-03-31,2019-07-01,-1797228,9552129,,19973675.0,1120582.0,-2279783.0,507181.0,-0.18814946908694385,0.47823592804028303,-2786964.0,-0.13953185880915756,0.11731227666628037
2019-03-31,2019-07-01,-11709412,29528933,,,14058231.0,-7294207.0,2291907.0,-0.39654030167632537,,-9586114.0,,0.4760832706010745
2020-03-31,2020-08-19,-14556680,19258793,,,21846943.0,-5359435.0,462385.0,-0.7558459141234863,,-5821820.0,,1.134387965019407
2021-03-31,2021-06-29,-7812294,160347529,-0.14,,19031812.0,-14415560.0,7437265.0,-0.0487210127198156,,-21852825.0,,0.11869102142509474
2022-03-31,2022-06-29,33247436,374303566,0.27,,39874747.0,2852583.0,19218982.0,0.08882479094521904,,-16366399.0,,0.10653050257073961
2023-03-31,2023-06-14,-4596038,372596085,-0.07,,39739302.0,35556366.0,12541325.0,-0.012335175234060766,,23015041.0,,0.10665517862325365
2024-03-31,2024-06-13,-15565200,356557029,-0.16,,43345187.0,32631341.0,8024765.0,-0.04365416675041905,,24606576.0,,0.12156593048120781
2025-03-31,2025-06-16,-130833600,222026563,-1.14,,75303066.0,,3407910.0,-0.5892700325230905,,,,0.33916241814723763
2026-03-31,2026-06-22,-3537641,234955103,-0.05,,32528667.0,,2890973.0,-0.015056668081816466,,,,0.13844630988925574
