fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-26,2012-02-17,87141000,1072663000,0.41,,2140302000,14605000,-179332000,0.08123800298882314,,193937000,,1.9953163295461855
2011-12-25,2012-02-17,-496772000,555612000,-2.32,,2321115000,-128991000,-135968000,-0.8940987595660281,,6977000,,4.177582557612147
2012-12-30,2013-02-15,174234000,906371000,0.7,,2004872000,199624000,-90327000,0.19223254053803576,,289951000,,2.2119772146284467
2013-12-29,2014-02-21,549555000,1489818000,2.12,,1679800000,878533000,116223000,0.36887391614277715,,762310000,,1.1275202742885373
2014-12-28,2015-02-12,711648000,2193895000,2.74,,922262000,1066692000,171443000,0.3243765084473049,,895249000,,0.42037654491213117
2015-12-27,2016-02-12,645914000,1258856000,2.5,,2056633000,976828000,175764000,0.5130960173363752,,801064000,,1.6337317373869609
2016-12-25,2017-02-09,440532000,887344000,1.73,,2111471000,755483000,272467000,0.4964613498259976,,483016000,,2.3795405164175336
2017-12-31,2018-02-16,694579000,1846156000,2.79,,4392991000,801321000,339872000,0.37622985273183845,,461449000,,2.3795340155436486
2018-12-30,2019-02-14,247945000,2009800000,1.0,,3911617000,491650000,348666000,0.12336799681560354,,142984000,,1.9462717683351578
2019-12-29,2020-02-21,455924000,2525663000,1.83,,4566304000,666521000,348120000,0.18051656139397854,,318401000,,1.8079625033110118
2020-12-27,2021-02-11,94757000,2563761000,0.39,,4899150000,724247000,354762000,0.03696015346204268,,369485000,,1.9109230540600313
2021-12-26,2022-02-18,31000000,2577080000,0.13,,6324271000,326459000,381671000,0.012029118226830365,,-55212000,,2.4540452760488614
2022-12-25,2023-02-09,745930000,2840814000,3.1,,6402493000,669863000,487110000,0.2625761489488576,,182753000,,2.253752973619533
2023-12-31,2024-02-27,321574000,3331372000,1.36,,6465784000,677877000,557800000,0.09652899766222445,,120077000,,1.94087721215163
2024-12-29,2025-02-13,1086438000,4239406000,4.57,,6397180000,1990127000,458500000,0.25627127951415835,,1531627000,,1.50898026751861
2025-12-28,2026-02-12,1082359000,3680050000,4.54,,6649799000,1371650000,718500000,0.29411529734650343,,653150000,,1.8069860463852394
