fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2012-06-30,2014-08-14,401600000,1851000000,4.27,,0.2169638033495408,
2013-06-29,2014-08-14,441900000,2331400000,4.68,,0.18954276400446085,
2014-06-28,2014-08-14,205300000,8692900000,1.77,,0.023616974772515502,
2015-06-27,2015-08-13,128000000,10662600000,0.92,,0.012004576744883987,
2015-12-31,2017-05-22,42500000,10107400000,0.29,,0.0042048400182044835,
2016-12-31,2017-05-22,-4012800000,5958100000,-28.01,,-0.6735032980312515,
2017-12-31,2018-03-01,119600000,6170500000,0.84,,0.01938254598492829,
2018-12-31,2019-02-27,131000000,5668000000,0.95,,0.023112208892025407,
2019-12-31,2020-02-27,146100000,5803800000,1.07,,0.025173162410834282,
2020-12-31,2021-03-01,-162600000,5655100000,-1.19,,-0.028752807200580006,
2021-12-31,2022-03-01,-68900000,5151700000,-0.52,,-0.01337422598365588,
2022-12-31,2023-02-28,-140600000,4842100000,-1.04,,-0.0290369880836827,
2023-12-31,2024-02-27,-12700000,4767900000,-0.09,,-0.0026636464690954088,
2024-12-31,2025-02-28,-171800000,4319400000,-1.25,,-0.03977404269111451,
2025-12-31,2026-02-26,-1425400000,2935500000,-10.29,,-0.4855731561914495,
