fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2008-12-31,2010-02-26,-1117000000,13435000000,-0.08314104949758094
2009-12-31,2010-02-26,3124000000,25195000000,0.12399285572534233
2010-12-31,2011-02-25,3195000000,32415000000,0.09856547894493291
2011-12-31,2012-02-24,3666000000,37223000000,0.09848749429116406
2012-12-31,2013-02-22,469000000,38575000000,0.012158133506156837
2013-12-31,2014-02-27,-667000000,35278000000,-0.018906967515165258
2014-12-31,2015-02-20,1381000000,41770000000,0.03306200622456308
2015-12-31,2016-02-19,5642000000,41890000000,0.1346860825972786
2016-12-31,2017-02-17,4368000000,45863000000,0.09524017181606087
2017-12-31,2018-02-16,7863000000,54069000000,0.14542528990734063
2018-12-31,2019-02-15,4074000000,48617000000,0.0837978484892116
2019-12-31,2020-02-14,4186000000,63115000000,0.06632337796086508
2020-12-31,2021-02-19,-374000000,67425000000,-0.005546903967371153
2021-12-31,2022-02-17,7724000000,61876000000,0.12483030577283599
2022-12-31,2023-02-16,-1438000000,16250000000,-0.08849230769230769
2023-12-31,2024-02-21,2488000000,27820000000,0.08943206326383897
2024-12-31,2025-02-13,2727000000,27872000000,0.09784012629161883
2025-12-31,2026-02-12,3576000000,32438000000,0.11024107528207658
