fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2011-12-31,2014-03-06,30904514,-238604689,4.55,,-0.12952182176101326,
2012-12-31,2014-03-06,-26235102,-99640501,42.5,,0.2632975721388635,
2013-12-31,2014-03-06,-51573575,136542412,-5.18,,-0.3777110294492234,
2014-12-31,2015-03-02,-93753000,298467000,-2.97,,-0.3141151283056418,
2015-12-31,2016-02-29,-170447000,226001000,,,-0.7541869283764231,
2016-12-31,2017-03-16,-142110000,119583000,,,-1.188379619176639,
2017-12-31,2018-03-06,-79000000,156437000,,,-0.5049956212404993,
2018-12-31,2019-03-01,-128081000,350727000,,,-0.36518716836741966,
2019-12-31,2020-03-02,-251576000,594330000,-4.27,,-0.42329345649723216,
2020-12-31,2021-02-25,-438160000,481982000,-6.64,,-0.9090795921839405,
2021-12-31,2022-02-22,-523901000,1438000,-7.43,,-364.32614742698195,
2022-12-31,2023-02-21,-559017000,-347086000,-7.79,,1.6106008309179858,
2023-12-31,2024-02-29,-626604000,-818555000,-8.37,,0.7655001801955885,
2024-12-31,2025-02-27,-363295000,-1098071000,-4.73,,0.3308483695498743,
2025-12-31,2026-02-19,682644000,-205313000,7.78,,-3.324894185950232,
