fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-06-30,2012-08-23,20584000,290022000,0.46,,,38509000.0,2710000,0.07097392611594983,,35799000.0,,
2011-06-30,2012-08-23,27214000,355389000,0.55,,169535000.0,78171000.0,5363000,0.0765752457166654,,72808000.0,,0.47704065123006056
2012-06-30,2012-08-23,13001000,338357000,0.28,,168803000.0,47727000.0,2268000,0.038423913204101,,45459000.0,,0.49889022541280365
2013-06-30,2013-08-20,-67372000,278895000,-1.57,,150652000.0,51916000.0,1341000,-0.24156761505225982,,50575000.0,,0.5401746176876603
2014-06-30,2014-09-12,-146404000,145151000,-3.36,,131692000.0,,5455000,-1.0086323897182934,,,,0.9072758713339901
2015-06-30,2015-08-19,-20008000,135585000,-0.45,,69568000.0,,3346000,-0.14756794630674486,,,,0.5130951063908249
2016-06-30,2016-08-19,-19420000,124752000,-0.43,,68350000.0,1015000.0,1859000,-0.155668846992433,,-844000.0,,0.5478870078235218
2017-06-30,2017-09-08,-12208000,118082000,-0.27,,56226000.0,18536000.0,1160000,-0.1033857827611321,,17376000.0,,0.47616063413560067
2018-06-30,2018-09-12,15930000,148326000,0.32,,71970000.0,26979000.0,610000,0.10739856801909307,,26369000.0,,0.48521499939322843
2019-06-30,2019-08-29,62480000,222829000,1.18,,101782000.0,37965000.0,1972000,0.28039438313684484,,35993000.0,,0.45677178464203494
2020-06-30,2020-08-28,18102000,255944000,0.34,,102463000.0,47608000.0,1962000,0.0707264089019473,,45646000.0,,0.4003336667395993
2021-06-30,2021-08-26,23555000,295148000,0.43,,154367000.0,50615000.0,1969000,0.07980741865098188,,48646000.0,,0.5230155718486996
2022-06-30,2022-08-22,-5248000,286000000,-0.1,,133909000.0,28672000.0,2842000,-0.01834965034965035,,25830000.0,,0.4682132867132867
2023-06-30,2023-08-21,-68866000,229801000,-1.28,,107354000.0,11838000.0,3062000,-0.29967667677686344,,8776000.0,,0.4671607173162867
2024-06-30,2024-08-21,-31331000,216825000,-0.57,,151721000.0,12039000.0,5348000,-0.14449901994696185,,6691000.0,,0.6997394211922057
2025-06-30,2026-08-26,4707000,244044000,0.08,,187063000.0,84980000.0,2071000,0.01928750553178935,,82909000.0,,0.7665134156135779
2026-06-30,2026-08-26,81235000,323092000,1.4,,398210000.0,131303000.0,3397000,0.25142993326978075,,127906000.0,,1.2324972453666447
