fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2014-12-31,2016-02-25,90981000,691932000,0.85,,0.13148835434695896,
2015-12-31,2016-02-25,136214000,703176000,1.27,,0.19371252716247425,
2016-12-31,2017-02-21,91832000,687057000,0.85,,0.13365994378923438,
2017-12-31,2018-02-26,75027000,739682000,0.69,,0.10143142593709188,
2018-12-31,2019-02-28,121479000,830643000,1.11,,0.1462469436328242,
2019-12-31,2020-02-27,149039000,901833000,1.36,,0.16526230466172784,
2020-12-31,2021-02-18,170095000,1007245000,1.54,,0.1688715257956108,
2021-12-31,2022-02-17,151868000,1070675000,1.36,,0.14184322973824923,
2022-12-31,2023-02-21,319657000,1289609000,2.86,,0.24787125400024348,
2023-12-31,2024-02-28,206500000,5016700000,1.04,,0.04116251719257679,
2024-12-31,2025-02-26,413100000,5224000000,2.01,,0.07907733537519142,
2025-12-31,2026-02-25,428400000,5571400000,2.04,,0.07689270201385648,
