fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2008-12-31,2011-02-24,573722000,6803012000,2.68,,,1071255000,2223534000,0.08433352756102738,,-1152279000,,
2009-12-31,2011-02-24,162421000,7499717000,0.75,,,844881000,2477549000,0.021656950522266374,,-1632668000,,
2010-12-31,2011-02-24,547467000,7942502000,2.51,,,1663019000,2187189000,0.06892878339848073,,-524170000,,
2011-12-31,2012-02-29,607421000,8407823000,2.77,,,1455739000,1173626000,0.0722447415936325,,282113000,,
2012-12-31,2013-02-25,18287000,8308749000,0.08,,,1381734000,1291499000,0.0022009330165106687,,90235000,,
2013-12-31,2014-02-20,473692000,8808265000,2.14,,,1412068000,763777000,0.05377812770165294,,648291000,,
2014-12-31,2015-02-23,764146000,8284359000,3.43,,,1743759000,1811398000,0.09223960477811259,,-67639000,,
2015-12-31,2016-02-22,665783000,8063039000,3.02,,,1946366000,1613340000,0.08257221625741858,,333026000,,
2016-12-31,2017-02-23,1283388000,9121412000,5.93,,,2516690000,2494363000,0.14070058451476591,,22327000,,
2017-12-31,2018-02-21,1625133000,10702303000,7.53,,11658623000.0,2874566000,564138000,0.15184890579158522,,2310428000,,1.0893564684161905
2018-12-31,2019-02-22,1811042000,11105461000,8.56,,16050789000.0,3479139000,3660028000,0.16307670613583714,,-180889000,,1.4453059625350086
2019-12-31,2020-02-25,1878887000,12163846000,8.95,,17586457000.0,3716366000,3024663000,0.15446487895358096,,691703000,,1.4457974065110657
2020-12-31,2021-02-26,-5797462000,8760669000,-27.05,,23704518000.0,-3731653000,1965131000,-0.6617601920583919,,-5696784000,,2.705788564777416
2021-12-31,2022-03-01,-5260499000,5085556000,-20.89,,27172799000.0,-1877815000,2229704000,-1.034399975145294,,-4107519000,,5.34313239299695
2022-12-31,2023-02-23,-2155962000,2868812000,-8.45,,30907549000.0,481857000,2710063000,-0.7515173528275816,,-2228206000,,10.77364044768357
2023-12-31,2024-02-21,1697000000,4724000000,6.31,,30232000000.0,4477000000,3897000000,0.359229466553768,,580000000,,6.399661303979678
2024-12-31,2025-02-14,2877000000,7563000000,10.94,,29335000000.0,5265000000,3268000000,0.38040460134867116,,1997000000,,3.8787518180616156
2025-12-31,2026-02-11,4268000000,10037000000,15.61,,31374000000.0,6465000000,5229000000,0.4252266613529939,,1236000000,,3.1258344126731097
