fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2016-12-31,2018-04-12,-38984,1546654,-0.01,,1666469,-136079,,-0.02520537883715427,,,,1.077467229257481
2017-12-31,2018-04-12,-5041134,6510338,-0.46,,9691822,-3167146,,-0.7743275387545163,,,,1.4886818472404966
2018-12-31,2019-04-11,-5703499,3456123,-0.44,,9547443,-2052844,,-1.6502592644995564,,,,2.762471995354332
2019-12-31,2020-03-30,-15884000,-9035000,,,32223000,-21332000,,1.7580520199225236,,,,
2020-12-31,2021-03-12,-14182000,25191000,,,8542000,-15063000,,-0.5629788416497956,,,,0.33908935731015044
2021-12-31,2022-03-31,-26782000,101087000,,,24792000,-18033000,,-0.2649401011010318,,,,0.24525408806275784
2022-12-31,2023-03-29,-83115000,49337000,,,34503000,-39612000,,-1.6846383039098445,,,,0.6993331576707137
2023-12-31,2024-03-25,-45685000,33370000,,,58781000,-32627000,,-1.3690440515433024,,,,1.7614923584057536
2024-12-31,2025-03-31,-61410000,34141000,,,48334000,-32469000,,-1.7987170850297296,,,,1.415717172900618
2025-12-31,2026-03-31,-31460000,42870000,,,42517000,-20372000,,-0.7338465127128528,,,,0.9917658035922556
