fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-09-30,2011-12-20,4445436,46309747,0.98,,0.09599352810111443,
2011-09-30,2011-12-20,4653473,48785778,1.01,,0.09538585199973648,
2012-09-30,2012-12-12,4296745,50682930,0.92,,0.08477696534119081,
2013-09-30,2013-12-11,4262052,49502422,0.91,,0.08609784789924016,
2014-09-30,2014-12-12,4708440,52020847,1.0,,0.09051063701442616,
2015-09-30,2015-12-10,5094415,52840991,1.08,,0.09641028496229376,
2016-09-30,2016-12-08,5806866,55667072,1.22,,0.10431419852655444,
2017-09-30,2017-12-08,6232865,60040472,0.86,,0.10381105931345776,
2018-09-30,2018-12-03,7297205,79583112,0.95,,0.09169288328408168,
2019-09-30,2019-12-03,8698412,83096392,1.08,,0.10467857617692956,
2020-09-30,2020-12-03,10564534,88887977,1.3,,0.11885222677528143,
2021-09-30,2021-12-02,10102062,99701709,1.22,,0.10132285696326429,
2022-09-30,2022-12-02,-31732602,93090656,-3.48,,-0.3408784873102624,
2023-09-30,2023-12-01,11299282,100732625,1.14,,0.11217102701334349,
2024-09-30,2024-12-05,11760896,108136775,1.16,,0.10875944839301893,
2025-09-30,2025-12-04,13279970,113552790,1.29,,0.11694974645713241,
