fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-09-30,2011-12-14,-7958000,69939000,-0.82,,-0.11378486967214287,
2011-09-30,2011-12-14,7846000,76913000,0.79,,0.10201136348861702,
2012-09-30,2012-12-14,7578000,84306000,0.78,,0.08988684079424952,
2013-09-30,2013-12-16,9191000,93781000,0.96,,0.09800492637101332,
2014-09-30,2014-12-15,11240000,110289000,1.13,,0.1019140621458169,
2015-09-30,2015-12-14,9312000,122623000,0.9,,0.07594007649462173,
2016-09-30,2016-12-13,11089000,127558000,1.1,,0.08693300302607442,
2017-09-30,2018-02-14,8259000,132745000,0.85,,0.06221703265659723,
2018-09-30,2018-12-31,21713000,154269000,2.23,,0.14074765507004,
2018-12-31,2020-02-13,6344000,160252000,,,0.03958764945211292,
2019-03-31,2020-02-13,6735000,165090000,,,0.04079592949300381,
2019-06-30,2020-02-13,5638000,170040000,,,0.03315690425782169,
2019-09-30,2020-02-13,19175000,168457000,1.99,,0.11382726749259454,
2019-12-31,2020-12-14,5634000,168490000,0.6,,0.033438186242506975,
2020-03-31,2020-12-14,-3452000,162623000,-0.37,,-0.021227009709573676,
2020-06-30,2020-12-14,-5474000,156876000,-0.6,,-0.034893801473775465,
2020-09-30,2020-12-14,-6085000,152721000,-0.66,,-0.03984389835058702,
2021-09-30,2021-12-14,30336000,179823000,3.37,,0.1686992209005522,
2022-09-30,2022-12-14,46041000,241269000,4.91,,0.19082849433619736,
2023-09-30,2023-12-14,29246000,281581000,3.13,,0.10386354192932051,
2024-09-30,2024-12-16,3011000,263360000,0.33,,0.011433019441069258,
2025-09-30,2026-03-19,10811000,261101000,1.23,,0.041405433146560144,
