fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-03-28,2011-05-26,406000000,2735100000,4.01,,,774200000,,0.14844064202405763,,,,
2010-04-03,2011-05-26,479500000,3116600000,4.73,,1532300000.0,906500000,,0.15385355836488482,,,,0.4916575755631136
2011-04-02,2011-05-26,567600000,3304700000,5.75,,1676400000.0,688700000,,0.1717553787030593,,,,0.5072775138439193
2012-03-31,2012-05-24,681000000,3652500000,7.13,,1763900000.0,885300000,,0.1864476386036961,,,,0.48292950034223137
2013-03-30,2013-05-23,750000000,3784600000,8.0,,1633600000.0,1018900000,,0.1981715372826719,,,,0.431644031073297
2014-03-29,2014-05-15,776000000,4034000000,8.43,,2056000000.0,907000000,,0.1923648983639068,,,,0.5096678235002479
2015-03-28,2015-05-15,702000000,3891000000,7.88,,2215000000.0,894000000,,0.18041634541249035,,,,0.5692624004112053
2016-04-02,2016-05-19,396000000,3744000000,4.62,,2469000000.0,1007000000,,0.10576923076923077,,,,0.6594551282051282
2017-04-01,2017-05-18,-99300000,3299600000,-1.2,,2352400000.0,952300000,,-0.030094556915989817,,,,0.7129349012001455
2018-03-31,2018-05-23,162800000,3457400000,1.97,,2685900000.0,975100000,,0.04708740672181408,,,,0.7768554405044253
2019-03-30,2019-05-16,430900000,3287200000,5.27,,2655600000.0,783800000,,0.1310842054027744,,,,0.8078607933803845
2020-03-28,2020-05-27,384300000,2693100000,4.98,,4586800000.0,754600000,,0.1426980060153726,,,,1.703167353607367
2021-03-27,2021-05-20,-121100000,2604400000,-1.65,,5283100000.0,380900000,,-0.04649823375825526,,,,2.0285286438335124
2022-04-02,2022-05-24,600100000,2536000000,8.07,,5188700000.0,715900000,,0.23663249211356466,,,,2.0460173501577286
2023-04-01,2023-05-25,522700000,2430500000,7.58,,4359000000.0,411000000,,0.21505862991154084,,,,1.79345813618597
2024-03-30,2024-05-23,646300000,2450300000,9.71,,4152300000.0,1069700000,,0.26376362078112886,,,,1.6946088234093784
2025-03-29,2025-05-22,742900000,2588500000,11.61,,4458800000.0,1235100000,,0.287000193162063,,,,1.7225420127486961
2026-03-28,2026-05-21,941100000,2841400000,15.11,,4898100000.0,1154200000,,0.3312099669177166,,,,1.7238333216020272
