fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2011-08-31,2013-12-16,-90,9910,,,-0.009081735620585268,
2012-08-31,2013-12-16,-12052,11358,,,-1.0611023067441452,
2013-08-31,2013-12-16,-50890,-13657,,,3.726294208098411,
2013-12-31,2015-09-11,-19871908,-17949256,,,1.1071159718263532,
2014-06-30,2015-09-11,-21335988,-1108961,,,19.23961978825225,
2015-06-30,2015-09-11,-20803596,8809934,,,-2.3613793247486305,
2016-06-30,2016-09-09,-2974691,7042353,,,-0.42240015517540797,
2017-06-30,2017-09-28,-6286521,1460284,,,-4.304998890626755,
2018-06-30,2018-09-28,-8960852,-5513076,,,1.6253815474337738,
2019-06-30,2019-09-24,-17318060,7613315,,,-2.274706878672431,
2019-12-31,2021-03-24,-15005199,115678294,,,-0.1297149057194775,
2020-12-31,2021-03-24,-59456394,105582746,,,-0.5631260433404526,
2021-12-31,2022-03-25,-125751809,208264886,-7.16,,-0.6038070623196653,
2022-12-31,2023-03-23,-157043823,140436302,-5.3,,-1.1182566100323548,
2023-12-31,2024-03-19,-98791746,85357242,-3.28,,-1.1573914958498777,
2024-12-31,2025-03-27,-79979354,35521961,-2.65,,-2.2515466981116274,
2025-12-31,2026-03-19,-57385163,86512013,-1.45,,-0.6633201680326176,
