fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-12-31,2013-02-27,-239256000,2223761000,-1.52,,-0.10759069882060167,
2011-12-31,2013-02-27,58026000,2392420000,0.36,,0.02425410254052382,
2012-12-31,2013-02-27,13002000,2357392000,0.08,,0.00551541703713256,
2013-12-31,2014-02-26,115722000,2414452000,0.7,,0.0479288882114865,
2014-12-31,2015-02-24,634382000,3457429000,3.79,,0.18348373892855066,
2015-12-31,2016-02-25,-713685000,2759658000,-4.29,,-0.25861356733334345,
2016-12-31,2017-02-22,-521388000,5408368000,-2.75,,-0.0964039429269606,
2017-12-31,2018-02-28,333146000,5774272000,1.34,,0.05769489210068386,
2018-12-31,2019-02-25,-1746481000,4059431000,-7.1,,-0.430228029494774,
2019-12-31,2020-02-27,-1716297000,2347488000,-6.92,,-0.7311206702654071,
2020-03-31,2021-02-23,166195000,2495808000,0.66,,0.06658965753775932,
2020-06-30,2021-02-23,-1388000,2336022000,-0.01,,-0.0005941724863892548,
2020-09-30,2021-02-23,-750178000,1593968000,-3.1,,-0.47063554600845187,
2020-12-31,2021-02-23,-711777000,1637535000,-2.95,,-0.43466368657769144,
2021-12-31,2022-02-22,411778000,2085663000,1.61,,0.19743266289903977,
2022-12-31,2023-02-27,1183370000,2876006000,4.69,,0.4114629802580384,
2023-12-31,2024-02-21,871142000,3765551000,3.57,,0.23134516037626365,
2024-12-31,2025-02-25,266340000,3936657000,1.09,,0.06765638967276041,
2025-12-31,2026-02-24,658024000,4318681000,2.74,,0.1523668916504831,
