fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2012-12-31,2015-02-27,242096000,724704000,5.74,,,305213000,105406000.0,0.334061906654303,,199807000.0,,
2013-12-31,2015-02-27,219767000,968301000,5.21,,,258038000,96008000.0,0.22696145103640294,,162030000.0,,
2014-12-31,2015-02-27,31655000,-62412000,0.75,,,187752000,74791000.0,-0.5071941293341025,,112961000.0,,
2015-12-31,2016-02-26,55257000,-17139000,1.3,,,201658000,77424000.0,-3.224050411342552,,124234000.0,,
2016-12-31,2017-02-24,73286000,211749000,1.55,,,232225000,88703000.0,0.34609844674591145,,143522000.0,,
2017-12-31,2018-03-01,324964000,693756000,5.81,,,129772000,75042000.0,0.4684125254412214,,54730000.0,,
2018-12-31,2019-03-01,128416000,706871000,1.96,,,246944000,132209000.0,0.1816682251782857,,114735000.0,,
2019-12-31,2020-03-02,-22450000,682798000,-0.57,,,41904000,102807000.0,-0.03287941675283173,,-60903000.0,,
2020-12-31,2021-03-01,555000,695087000,0.01,,,124470000,77159000.0,0.0007984611998210296,,47311000.0,,
2021-12-31,2022-03-01,66414000,814343000,1.05,,,233224000,95238000.0,0.08155531514361884,,137986000.0,,
2022-12-31,2023-03-01,-14919000,829313000,-0.23,,,68813000,,-0.01798958897304154,,,,
2023-12-31,2024-02-29,-101835000,746447000,-1.57,,,136274000,,-0.13642629684358032,,,,
2024-12-31,2025-03-06,-38744000,713885000,-0.59,,,203610000,,-0.05427204661815278,,,,
2025-12-31,2026-03-05,-420674000,316556000,-6.33,,,23911000,,-1.3289086291209138,,,,
