fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-03-05,31548000,368752000,0.62,,,403581000,43277000,0.0855534342864581,,360304000,,
2010-12-31,2012-03-05,89929000,464695000,1.49,,,255039000,85194000,0.19352263312495294,,169845000,,
2011-12-31,2012-03-05,76254000,522742000,1.29,,,153630000,158716000,0.14587310757505614,,-5086000,,
2012-12-31,2013-03-26,89101000,526545000,1.53,,,-67378000,95376000,0.16921820547151714,,-162754000,,
2013-12-31,2014-03-03,81618000,613639000,1.53,,,126448000,157617000,0.13300653967560733,,-31169000,,
2014-12-31,2015-02-27,97217000,666718000,1.84,,,160650000,146432000,0.14581427230103283,,14218000,,
2015-12-31,2016-02-26,86311000,729048000,1.7,,,69491000,173249000,0.11838863833382712,,-103758000,,
2016-12-31,2017-02-27,93193000,725164000,2.03,,,216368000,206232000,0.1285129984389738,,10136000,,
2017-12-31,2018-02-28,92983000,786760000,2.09,,,162883000,234245000,0.11818470689918145,,-71362000,,
2018-12-31,2019-02-21,51650000,823116000,1.2,,,143675000,163619000,0.0627493573202319,,-19944000,,
2019-12-31,2020-02-21,144137000,944764000,3.3,,,170914000,125576000,0.15256402657171528,,45338000,,
2020-12-31,2021-02-23,-51385000,814805000,-1.21,,,281079000,127183000,-0.06306416872748695,,153896000,,
2021-12-31,2022-02-25,348900000,1076400000,8.06,,,306300000,298200000,0.3241360089186176,,8100000,,
2022-12-31,2023-02-17,88500000,895200000,2.23,,,406100000,227100000,0.09886058981233244,,179000000,,
2023-12-31,2024-02-22,178200000,891900000,4.97,,,-15700000,-203600000,0.19979818365287588,,187900000,,
2024-12-31,2025-02-19,216000000,1062300000,6.18,,,109200000,-187300000,0.20333239197966677,,296500000,,
2025-12-31,2026-02-23,118700000,1068100000,3.42,,,567400000,-149900000,0.1111319164872203,,717300000,,
