fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-09,1419000,59841000,0.07,,0.023712839023412043,
2010-12-31,2012-03-09,890000,59216000,-0.06,,0.015029721696838692,
2011-12-31,2012-03-09,2088000,62539000,0.24,,0.033387166408161306,
2012-12-31,2014-03-04,3862000,64125000,0.64,,0.06022612085769981,
2013-12-31,2014-03-04,5120000,65665000,0.98,,0.07797152211985076,
2014-12-31,2015-03-03,6625000,82992000,1.1,,0.0798269712743397,
2015-12-31,2016-03-02,10167000,94240000,1.55,,0.10788412563667232,
2016-12-31,2017-03-03,13036000,109872000,1.94,,0.11864715305082278,
2017-12-31,2018-02-28,13045000,149686000,1.76,,0.08714909878011304,
2018-12-31,2019-02-28,22289000,173916000,2.88,,0.1281595712872881,
2019-12-31,2020-03-02,27858000,205860000,3.58,,0.13532497814048383,
2020-12-31,2021-03-02,18328000,228294000,2.34,,0.08028244281496666,
2021-12-31,2022-03-04,46711000,277901000,5.85,,0.16808503747737505,
2022-12-31,2023-02-13,29115000,294512000,3.61,,0.09885845058944967,
2023-12-31,2024-03-05,13426000,312467000,1.66,,0.04296773739306871,
2024-12-31,2025-03-03,15530000,330444000,1.91,,0.04699737323116776,
2025-12-31,2026-02-24,30366000,368657000,3.72,,0.0823692483799304,
