fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-15,7273000,127810000,0.64,,0.05690478053360457,
2010-12-31,2012-03-15,-1667000,122513000,-0.2,,-0.013606719286932816,
2011-12-31,2012-03-15,-897000,121249000,-0.11,,-0.007397999158755948,
2012-12-31,2013-03-15,-9638000,114026000,-1.14,,-0.08452458211285145,
2013-12-31,2014-03-20,-9634000,103299000,-1.14,,-0.09326324552996641,
2014-12-31,2015-03-13,5051000,140469000,0.46,,0.035958111754194874,
2015-12-31,2016-03-11,7108000,146967000,0.56,,0.04836459885552539,
2016-12-31,2017-03-16,9638000,154299000,0.76,,0.06246313974815132,
2017-12-31,2018-03-16,11262000,163736000,0.89,,0.06878145307079689,
2018-12-31,2019-03-15,24997000,183185000,1.96,,0.13645767939514697,
2019-12-31,2020-03-13,16198000,192802000,1.27,,0.08401365131067105,
2019-03-31,2021-03-26,3754000,187082000,,,0.02006606728600293,
2019-06-30,2021-03-26,4224000,191307000,,,0.022079693895152817,
2019-09-30,2021-03-26,4206000,193963000,,,0.021684548083912913,
2020-03-31,2021-03-26,3118000,195694000,,,0.015933038314920232,
2020-06-30,2021-03-26,5335000,200134000,,,0.02665713971639002,
2020-09-30,2021-03-26,3391000,198881000,,,0.017050396971053042,
2020-12-31,2021-03-26,15730000,195019000,1.27,,0.08065880760336172,
2021-03-31,2022-03-31,3998000,196104000,,,0.020387141516746216,
2021-06-30,2022-03-31,4031000,198682000,,,0.0202887025498032,
2021-09-30,2022-03-31,4616000,201607000,,,0.022896030395769987,
2021-12-31,2022-03-31,15368000,350693000,1.17,,0.043821804256144264,
2022-03-31,2023-03-30,5613000,351864000,,,0.015952186071891413,
2022-06-30,2023-03-30,7499000,352777000,,,0.021257054739963206,
2022-09-30,2023-03-30,9658000,357221000,,,0.027036484417209513,
2022-12-31,2023-03-30,31177000,364285000,1.57,,0.08558408938056741,
2023-12-31,2024-03-15,11228000,511135000,0.42,,0.021966799377855166,
2024-12-31,2025-03-10,43889000,541066000,1.32,,0.08111579733341219,
2025-12-31,2026-03-02,59506000,589873000,1.78,,0.10087934182442661,
