fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2008-12-31,2011-02-25,43758000,890493000,0.82,,0.049139072401467504,
2009-12-31,2011-02-25,36398000,1002375000,0.68,,0.03631175957101883,
2010-12-31,2011-02-25,65541000,1071109000,1.2,,0.061189850892859644,
2011-12-31,2012-02-24,19865000,1109228000,0.36,,0.01790885192223781,
2012-12-31,2013-02-21,37963000,1090592000,0.68,,0.03480953463806813,
2013-12-31,2014-02-28,106418000,1153928000,1.87,,0.09222239169168267,
2014-12-31,2015-02-26,141827000,1275586000,2.47,,0.11118576089734443,
2015-12-31,2016-02-24,165861000,1398041000,2.85,,0.1186381515277449,
2016-12-31,2017-02-22,158495000,1531370000,2.7,,0.10349882784696056,
2017-12-31,2018-02-20,168826000,1712957000,2.84,,0.09855822417025062,
2018-12-31,2019-02-15,178939000,1791802000,3.0,,0.09986538691216998,
2019-12-31,2020-02-12,271623000,2194936000,4.53,,0.12374984965393068,
2020-12-31,2021-02-12,246355000,2738889000,4.09,,0.08994705517456165,
2021-12-31,2022-02-11,403837000,2982885000,6.5,,0.13538470306431524,
2022-12-31,2023-02-10,224886000,2527564000,3.54,,0.08897341471867774,
2023-12-31,2024-02-09,365238000,2954381000,5.84,,0.12362589659221339,
2024-12-31,2025-02-10,207012000,3120076000,3.23,,0.06634838382141973,
2025-12-31,2026-02-09,466411000,3608975000,7.49,,0.129236417542377,
