fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-04-30,2011-06-28,265953000,4939931000,3.11,,0.05383739165587535,
2010-04-30,2011-06-28,494138000,5326320000,4.15,,0.09277287132579341,
2011-04-30,2011-06-28,479482000,5292363000,4.05,114378016.0,0.09059884970097479,46.27080609616449
2012-04-30,2012-06-25,459744000,5163386000,4.06,,0.08903924672685715,
2013-04-30,2013-06-21,544200000,5148800000,5.0,,0.10569453076444997,
2014-04-30,2014-06-23,565200000,5029600000,5.42,,0.11237474153014156,
2015-04-30,2015-06-25,344900000,7086900000,3.33,,0.048667259309430076,
2016-04-30,2016-06-21,688700000,7008500000,5.76,,0.09826639081115789,
2017-04-30,2017-06-19,592300000,6850200000,5.1,,0.08646462876996291,
2018-04-30,2018-06-18,1338600000,7891100000,11.78,,0.16963414479603603,
2019-04-30,2019-06-17,514400000,7970500000,4.52,,0.06453798381531899,
2020-04-30,2020-06-19,779500000,8190900000,6.84,,0.09516658731030778,
2021-04-30,2021-06-17,876300000,8124800000,7.79,,0.10785496258369437,
2022-04-30,2022-06-16,631700000,8140100000,5.83,,0.07760346924484957,
2023-04-30,2023-06-20,-91300000,7290800000,-0.86,,-0.01252263126131563,
2024-04-30,2024-06-18,744000000,7693900000,7.13,,0.09669998310349757,
2025-04-30,2025-06-18,-1230800000,6082600000,-11.57,,-0.20234768026830632,
2026-04-30,2026-06-09,-138700000,5543800000,-1.3,,-0.02501894007720336,
