fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2012-08-31,2013-11-18,3027884,15142576,0.19,,0.1999583162072292,
2013-08-31,2013-11-18,2886598,14242493,0.18,,0.20267505134108194,
2014-08-31,2014-11-28,3025491,15435351,0.18,,0.19601050860456623,
2015-08-31,2015-11-20,3842961,19532202,0.23,,0.1967500131321599,
2016-08-31,2016-11-14,4950136,22732594,0.29,,0.21775499971538664,
2017-08-31,2017-11-14,5787597,25804887,0.33,,0.2242829817468296,
2018-08-31,2018-11-14,8934812,31922625,0.5,,0.2798896394015217,
2019-08-31,2019-11-13,8583329,37681604,0.48,,0.2277856590181246,
2020-08-31,2020-11-16,9332060,156035945,0.5,,0.05980711687938314,
2021-08-31,2021-10-27,9782000,165782000,0.47,,0.059005199599474006,
2022-08-31,2022-10-28,12483000,178248000,0.6,,0.07003164130873839,
2023-08-31,2023-10-27,9961000,170029000,0.49,,0.058584123884749074,
2024-08-31,2024-10-30,9954000,182431000,0.49,,0.05456309508800588,
2025-08-31,2025-12-01,-64718000,124801000,-3.22,,-0.5185695627438883,
