fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2015-12-31,2018-02-21,-447710000,1852401000,-6.61,,-0.241691728734761,
2016-12-31,2018-02-21,-757744000,2497133000,-9.9,,-0.30344559140422234,
2017-12-31,2018-02-21,-160843000,2394608000,-1.44,,-0.06716882262148961,
2018-12-31,2019-02-21,508407000,2920322000,4.48,,0.17409278839799172,
2019-12-31,2020-02-20,-187001000,2748994000,-1.66,,-0.06802524850909096,
2020-12-31,2021-02-18,-764614000,2016160000,-6.72,,-0.37924271883183874,
2021-12-31,2022-02-25,36229000,2063131000,0.29,,0.017560203399590236,
2022-12-31,2023-02-23,1111952000,3085458000,8.96,,0.36038474677017157,
2023-12-31,2024-02-22,817880000,3615850000,6.86,,0.22619301132513794,
2024-12-31,2025-02-20,770293000,4237257000,6.67,,0.18179048379647494,
2025-12-31,2026-02-26,648000000,4810000000,5.64,,0.13471933471933473,
