fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2015-12-31,2018-02-22,-372893000,764145000,-0.51,,,,19205000,-0.48798722755497975,,,,
2016-12-31,2018-02-22,-514643000,1518914000,-0.64,,203878000.0,-611245000.0,66441000,-0.3388230011705732,,-677686000.0,,0.13422616421996242
2017-12-31,2018-02-22,-3445066000,2992327000,-2.95,,429239000.0,-734667000.0,84518000,-1.1512999749024755,,-819185000.0,,0.14344655513919435
2018-12-31,2019-02-06,-1255911000,2310999000,-0.97,,403107000.0,-689924000.0,120242000,-0.54344939136711,,-810166000.0,,0.17442975959747278
2019-12-31,2020-02-05,-1033660000,2259913000,-0.75,,1752011000.0,-304958000.0,36478000,-0.45738928887970465,,-341436000.0,,0.7752559501184337
2020-12-31,2021-02-05,-944839000,2329976000,-0.65,1503333000.0,2694262000.0,-167644000.0,57832000,-0.40551447740234237,1.5498735143843712,-225476000.0,-0.14998406873260947,1.156347533193475
2021-12-31,2022-02-04,-487955000,3790168000,-0.31,1619283000.0,3746138000.0,292880000.0,69875000,-0.12874231432485314,2.3406458290490297,223005000.0,0.13771836053364359,0.988383100696328
2022-12-31,2023-02-01,-1429653000,2580698000,-0.89,1625398000.0,5448840000.0,184614000.0,129306000,-0.553979194775987,1.5877329737085932,55308000.0,0.03402735822241691,2.111382269448033
2023-12-31,2024-02-07,-1322485000,2414112000,-0.82,1694696000.0,5553646000.0,246521000.0,211727000,-0.5478142687663207,1.4245103546594788,34794000.0,0.02053111590515349,2.300492272106679
2024-12-31,2025-02-05,-697856000,2450761000,-0.42,1737867000.0,5485587000.0,413480000.0,194826000,-0.28475073660793526,1.4102120588054208,218654000.0,0.1258174532343384,2.2383198524866357
2025-12-31,2026-02-05,-460489000,2281495000,-0.27,1756223000.0,5396307000.0,656170000.0,218981000,-0.20183651509207778,1.2990918579246484,437189000.0,0.24893706550933453,2.365250416941523
