fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2011-12-31,2013-02-26,-2378594,6791042,,,,-1951738,,-0.35025464427992054,,,,
2012-12-31,2013-02-26,-4163008,3551106,,,,-2635533,,-1.1723130765457297,,,,
2013-12-31,2014-03-26,-10058996,-1769821,-0.65,,,4456973,,5.683623372081131,,,,
2014-12-31,2015-03-25,-6706972,-153889,-0.43,,,-2466729,,43.58318008434651,,,,
2015-12-31,2016-03-24,-7831230,-18309,-0.3,,,-5386308,,427.7257086678683,,,,
2016-12-31,2017-03-27,-3245383,7397248,-1.34,,,-4982421,,-0.4387284298160613,,,,
2017-12-31,2018-03-15,-7147083,6319712,-1.16,,,-6510567,,-1.1309190988450106,,,,
2018-12-31,2019-03-26,-8899975,6280170,,,4211532.0,-7244631,,-1.4171551088585181,,,,0.6706079612494567
2019-12-31,2020-03-30,-9355592,1457135,,,6318225.0,-7509567,,-6.420538934278567,,,,4.336060145422353
2020-12-31,2021-03-30,-17688522,3741828,-0.64,,16149407.0,-11454426,,-4.727240803158242,,,,4.315913772626641
2021-12-31,2022-03-29,-12550973,10722598,-0.31,,16147329.0,-11739620,,-1.1705160447122982,,,,1.5059157304974038
2022-12-31,2023-03-31,-13798339,-2470826,-4.81,,16750500.0,-12649021,,5.5845045341112645,,,,
2023-12-31,2024-03-15,-6140730,2522422,-0.79,,7274904.0,-8604109,,-2.434457834573279,,,,2.884094731175037
2024-12-31,2025-03-21,-8266576,4118071,-4.98,,4848412.0,-8403618,,-2.007390353396044,,,,1.1773502690944377
2025-12-31,2026-03-31,-11080380,5292125,-2.14,,3943396.0,-10266553,5883.0,-2.093748730424924,,-10272436.0,,0.7451441528686492
