fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-02-23,67558000,158796000,2.9,,,101860000,17229000,0.4254389279326935,,84631000,,
2010-12-31,2012-02-23,77898000,184390000,3.45,,46268000.0,79419000,8738000,0.4224632572265307,,70681000,,0.2509246705352785
2011-12-31,2012-02-23,88639000,252440000,3.94,,97620000.0,82436000,7952000,0.35112898114403424,,74484000,,0.38670575186182854
2012-12-31,2013-04-15,26984000,251419000,1.2,,71208000.0,72877000,9989000,0.10732681300935888,,62888000,,0.28322441820228383
2013-12-31,2014-03-11,27530000,269950000,1.25,,56948000.0,50456000,10408000,0.1019818484904612,,40048000,,0.21095758473791443
2014-12-31,2015-03-05,20745000,279059000,0.94,,58831000.0,41559000,7679000,0.07433911825097918,,33880000,,0.21081921744147294
2015-12-31,2016-02-25,84235000,333553000,3.98,,56869000.0,38012000,6374000,0.2525385770777058,,31638000,,0.1704946440295845
2016-12-31,2017-03-02,13979000,322087000,,,66000000.0,37461000,6254000,0.043401317035459366,,31207000,,0.20491357925032677
2017-12-31,2018-03-01,-15306000,290529000,,,60032000.0,15556000,9214000,-0.052683208905135115,,6342000,,0.20662997497668048
2018-12-31,2019-02-28,-1479000,274554000,,,53158000.0,10315000,5915000,-0.005386918420420027,,4400000,,0.19361582785171588
2019-12-31,2020-02-27,-10765000,250094000,-0.56,,69778000.0,11693000,4837000,-0.04304381552536246,,6856000,,0.27900709333290685
2020-12-31,2021-02-18,-44225000,200613000,-2.44,,76678000.0,26163000,3455000,-0.22044932282553972,,22708000,,0.38221850029659094
2021-12-31,2022-02-17,-22180000,173691000,-1.14,,74463000.0,7968000,4393000,-0.12769803847061736,,3575000,,0.4287096049881686
2022-12-31,2023-02-23,21856000,172078000,1.09,,72399000.0,6456000,3776000,0.12701216890014994,,2680000,,0.4207336207998698
2023-12-31,2024-02-22,15666000,163771000,0.77,,63913000.0,26184000,3417000,0.09565796142174134,,22767000,,0.39025834854766717
2024-12-31,2025-02-27,14965000,154746000,0.73,,62357000.0,28922000,3209000,0.09670686156669639,,25713000,,0.4029635661018702
2025-12-31,2026-02-26,15881000,146379000,0.75,,59732000.0,28949000,3753000,0.10849233838187172,,25196000,,0.4080639982511153
