fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-09,1162000,-60466000,0.13,,-0.019217411437832833,
2010-12-31,2012-03-09,2884000,43508000,0.25,,0.06628665992461157,
2011-12-31,2012-03-09,13703000,59553000,1.08,,0.23009756015649926,
2012-12-31,2013-03-06,1222000,134817000,0.09,,0.00906413879555249,
2013-12-31,2014-02-20,1051000,192773000,0.07,,0.005452008320667313,
2014-12-31,2015-02-20,2704000,205091000,0.16,,0.01318439131897548,
2015-12-31,2016-02-24,4639000,222185000,0.27,,0.020878997232036366,
2016-12-31,2017-02-27,5710000,249267000,0.33,,0.02290716380427413,
2017-12-31,2018-02-26,-2440000,276820000,-0.14,,-0.00881439202369771,
2018-12-31,2019-02-22,23872000,318974000,1.36,,0.07483995560766708,
2019-12-31,2020-02-25,33712000,354876000,0.94,,0.0949965621794655,
2020-12-31,2021-02-23,45586000,420721000,1.26,,0.10835209081552859,
2021-12-31,2022-02-22,44597000,484259000,1.21,,0.09209328066179462,
2022-12-31,2023-02-21,55134000,537073000,1.49,,0.10265643590349915,
2023-12-31,2024-02-21,65824000,667475000,1.76,,0.09861642758155736,
2024-12-31,2025-02-19,77054000,854690000,2.04,,0.09015432495992699,
2025-12-31,2026-02-19,93339000,973893000,2.46,,0.09584112423027992,
