fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2014-12-31,2016-03-18,-4045683,60733884,,,-0.06661327637139097,
2015-12-31,2016-03-18,-3818692,53063548,,,-0.0719645056527317,
2016-12-31,2017-03-17,-5812485,43090853,,,-0.13488906798851255,
2017-12-31,2018-03-20,-3484416,37645819,-0.2,,-0.09255784819025985,
2018-12-31,2019-03-25,3384294,40415393,0.19,,0.0837377481396754,
2019-12-31,2020-03-13,-610206,39180794,-0.03,,-0.015574110111193765,
2020-12-31,2021-03-30,-7673905,34883679,,,-0.21998554108928706,
2021-12-31,2022-03-30,-3625582,55669775,-0.46,,-0.06512657900988462,
2022-12-31,2023-03-28,-2127119,43829626,-0.57,,-0.04853153435532395,
2023-12-31,2024-04-16,10146446,50932994,,,0.1992116544336663,
2024-12-31,2025-03-31,-25628529,26535146,,,-0.9658333517365987,
2025-12-31,2026-03-27,-8275685,16839965,,,-0.4914312470364398,
