fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2009-12-31,2011-02-24,1119000000,9007000000,0.12423670478516709
2010-12-31,2011-02-24,739000000,9027000000,0.08186551456740888
2011-12-31,2013-02-26,1331000000,9775000000,0.13616368286445013
2012-12-31,2013-02-26,859000000,10282000000,0.08354405757634702
2013-12-31,2014-02-27,1001000000,11008000000,0.09093386627906977
2014-12-31,2015-02-26,1161000000,11326000000,0.10250750485608334
2015-12-31,2016-02-26,1349000000,11809000000,0.11423490558048946
2016-12-31,2017-02-28,1370000000,12951000000,0.10578333719403907
2017-12-31,2018-02-27,256000000,12670000000,0.020205209155485397
2018-12-31,2019-02-26,864000000,17138000000,0.05041428404714669
2019-12-31,2020-02-27,447000000,19929000000,0.022429625169351198
2020-12-31,2021-02-25,414000000,23373000000,0.01771274547554871
2021-12-31,2024-02-27,1318000000,25981000000,0.050729379161695086
2022-12-31,2024-02-27,2139000000,27115000000,0.0788862253365296
2023-12-31,2024-02-27,3075000000,28675000000,0.10723626852659111
2024-12-31,2025-02-25,2862000000,31222000000,0.09166613285503812
2025-12-31,2026-02-26,1837000000,31594000000,0.05814395138317402
