fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2008-12-31,2011-02-22,80808000,176081000,5.67,,0.4589251537644607,
2009-12-31,2011-02-22,105078000,189820000,7.6,,0.5535665367189969,
2010-12-31,2011-02-22,131260000,176004000,9.7,,0.7457785050339765,
2011-12-31,2012-02-21,106044000,42293000,8.88,,2.5073652850353487,
2012-12-31,2013-02-19,65930000,40988000,5.76,,1.6085195667024494,
2013-09-30,2014-02-26,3149000,56965000,0.3,,0.0552795576231019,
2013-12-31,2014-02-26,16425000,38902000,1.55,,0.42221479615443935,
2014-12-31,2015-02-20,46356000,92732000,4.35,,0.4998921623603503,
2015-12-31,2016-02-19,40023000,142856000,3.73,,0.28016324130593045,
2016-12-31,2017-02-17,34802000,188374000,3.21,,0.18474948772123542,
2017-12-31,2018-03-01,20612000,209197000,1.84,,0.09852913760713586,
2018-12-31,2019-03-01,-15671000,1425224000,-1.03,,-0.010995464572586485,
2019-12-31,2020-03-02,81138000,1462710000,3.67,,0.0554710092909736,
2020-12-31,2021-03-01,86268000,1748319000,3.77,,0.04934339785817119,
2021-12-31,2022-02-28,55087000,1713990000,2.28,,0.03213962741906312,
2022-12-31,2023-02-27,46670000,1635790000,1.94,,0.028530557100850354,
2023-12-31,2024-02-29,69791000,1652518000,2.91,,0.042233125448557896,
2024-12-31,2025-02-27,112684000,1662499000,4.67,,0.06777989039391903,
2025-12-31,2026-02-27,126614000,1646406000,5.41,,0.07690326687342004,
