fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2012-12-31,2015-02-25,201195000,2719346000,1.76,,0.07398653941057887,
2013-12-31,2015-02-25,305030000,4282528000,1.82,,0.07122662128537163,
2014-12-31,2015-02-25,495021000,3860856000,2.24,,0.12821534913501048,
2015-12-31,2016-02-25,450697000,4140316000,1.91,,0.10885570086920901,
2016-12-31,2017-02-23,365186000,4522274000,1.5,,0.08075273634459124,
2017-12-31,2018-02-28,400770000,4478414000,1.52,,0.08948927008534718,
2018-12-31,2019-02-28,385830000,4603432000,1.42,,0.08381355475653816,
2019-12-31,2020-02-25,509664000,4700425000,1.79,,0.1084293441550498,
2020-12-31,2021-02-25,331689000,4488898000,1.16,,0.07389096388467727,
2021-12-31,2022-02-25,447739000,6072536000,1.52,,0.07373179837879924,
2022-12-31,2023-03-01,871475000,6462438000,2.74,,0.1348523575777439,
2023-12-31,2024-02-22,339213000,6251089000,1.07,,0.05426462493175189,
2024-12-31,2025-02-27,359933000,6437107000,1.1,,0.05591533587992246,
2025-12-31,2026-02-25,411544000,6795516000,1.15,,0.06056111117978385,
