fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-02-28,2011-04-29,-301400000,1908300000,,,-0.15794162343447046,
2010-02-28,2011-04-29,99300000,2576300000,,,0.03854364786709622,
2011-02-28,2011-04-29,559500000,2551900000,,,0.21924840315059368,
2012-02-29,2012-04-30,445000000,2676000000,,,0.1662929745889387,
2013-02-28,2013-04-29,387800000,2860300000,,,0.13558018389679405,
2014-02-28,2014-04-29,1943100000,4981300000,,,0.39007889506755267,
2015-02-28,2015-04-28,839300000,5770700000,,,0.14544162753218848,
2016-02-29,2016-04-25,1054900000,6559600000,,,0.16081773278858466,
2017-02-28,2017-04-27,1535100000,6891200000,,,0.22276236359414905,
2018-02-28,2018-04-23,2318900000,8046100000,,,0.288201737487727,
2019-02-28,2019-04-23,3435900000,12551000000,,,0.2737550792765517,
2020-02-29,2020-04-21,-11800000,12131800000,,,-0.000972650389884436,
2021-02-28,2021-04-20,1998000000,13598900000,,,0.1469236482362544,
2022-02-28,2022-04-21,-40400000,11731900000,,,-0.003443602485530903,
2023-02-28,2023-04-20,-71000000,8413600000,,,-0.008438718265665114,
2024-02-29,2024-04-23,1727400000,9743100000,,,0.1772947008652277,
2025-02-28,2025-04-23,-81400000,6882000000,,,-0.011827956989247311,
2026-02-28,2026-04-22,1686700000,8082400000,,,0.2086880134613481,
