fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-12-31,2012-03-30,-707000,39008000,,,-0.018124487284659558,
2011-12-31,2012-03-30,-1066000,38023000,,,-0.028035662625253137,
2012-12-31,2013-03-27,-1421000,37188000,-0.03,,-0.038211250941163816,
2013-12-31,2014-03-31,12862000,50304000,0.31,,0.25568543256997456,
2014-12-31,2015-03-27,20765000,182067000,0.32,,0.11405142063086667,
2015-12-31,2016-03-24,-7370000,175141000,-0.57,,-0.04208038095020583,
2016-12-31,2017-03-17,28888000,204305000,2.22,,0.14139644159467463,
2017-12-31,2018-03-29,3047000,207952000,0.23,,0.014652419789182119,
2018-12-31,2019-03-28,6195000,213057000,0.47,,0.029076725946577675,
2020-12-31,2022-03-25,5202000,240512000,0.4,,0.021628858435337947,
2021-12-31,2022-03-25,25929000,267236000,2.02,,0.09702659821281563,
2022-12-31,2023-03-31,13491000,279929000,1.05,,0.04819436357076259,
2023-12-31,2024-03-20,15887000,280315000,1.25,,0.056675525747819415,
2024-12-31,2025-03-20,13488000,288690000,1.08,,0.04672139665385015,
2025-12-31,2026-03-20,-2533000,235098000,-0.21,,-0.01077423032097253,
