fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2007-12-31,2010-02-26,1017400000,5378500000,2.44,,,1028300000,187700000,0.18916054662080506,,840600000,,
2008-12-31,2010-02-26,1147800000,5406700000,2.78,,,1175900000,155200000,0.21229215602863113,,1020700000,,
2009-12-31,2010-02-26,1107400000,6595100000,2.77,,,1460700000,131300000,0.16791254112902004,,1329400000,,
2010-12-31,2011-02-18,1273400000,7173600000,3.19,,,1547400000,182100000,0.17751198840191815,,1365300000,,
2011-12-31,2012-02-13,1345000000,7683000000,3.45,,,1434000000,226000000,0.1750618248080177,,1208000000,,
2012-12-31,2013-02-27,1298000000,8597000000,3.39,,,1657000000,210000000,0.15098290101198092,,1447000000,,
2013-12-31,2014-02-13,1006000000,9047000000,2.63,,,1886000000,195000000,0.11119708190560407,,1691000000,,
2014-12-31,2015-02-12,515000000,8595000000,1.34,,,1782000000,233000000,0.05991855730075625,,1549000000,,
2015-12-31,2016-02-11,1439000000,8511000000,3.78,,7712000000.0,899000000,270000000,0.1690753142991423,,629000000,,0.906121489836682
2016-12-31,2017-02-09,1647000000,9550000000,4.35,,10885000000.0,1812000000,490000000,0.17246073298429318,,1322000000,,1.1397905759162303
2017-12-31,2018-02-08,1020000000,9966000000,2.68,,12217000000.0,1559000000,598000000,0.10234798314268513,,961000000,,1.225867951033514
2018-12-31,2019-02-07,3553000000,11730000000,9.34,,15499000000.0,2610000000,572000000,0.30289855072463767,,2038000000,,1.321312872975277
