fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-12-31,2012-03-12,3904000,31134000,0.41,,0.12539346052547054,
2011-12-31,2012-03-12,4676000,35313000,0.49,,0.1324158242007193,
2012-12-31,2013-03-15,3621000,33369000,0.4,,0.10851389013755282,
2013-12-31,2014-03-14,4935000,32521000,0.57,,0.15174810122689955,
2014-12-31,2015-03-30,-2421000,25394000,-0.29,,-0.09533748129479405,
2015-12-31,2016-03-11,3092000,25728000,0.39,,0.12018034825870647,
2016-12-31,2017-03-16,3617000,24109000,0.47,,0.1500269608859762,
2017-12-31,2018-03-21,3211000,26014000,0.42,,0.12343353578842162,
2018-12-31,2019-03-18,5426000,27567000,0.7,,0.19682954256901367,
2019-12-31,2020-03-16,516000,25926000,0.07,,0.019902800277713493,
2020-12-31,2021-03-12,-5630000,30236000,-0.72,,-0.18620187855536446,
2021-09-30,2022-03-24,910000,39361000,0.09,,0.023119331317801885,
2021-12-31,2022-03-24,-4145000,38991000,-0.45,,-0.10630658357056756,
2022-12-31,2023-03-28,-5936000,33862000,-0.6,,-0.17529974602799597,
2023-12-31,2024-03-13,4748000,39414000,0.47,,0.12046480945856802,
2024-12-31,2025-03-24,-9863000,30633000,-0.99,,-0.32197303561518625,
2025-12-31,2026-03-12,-1240000,31116000,-0.12,,-0.0398508805759095,
