fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2008-09-30,2010-11-15,133126000,653900000,,,0.2035877045419789,
2009-09-30,2010-11-15,162902000,819162000,,,0.19886420512670266,
2010-09-30,2010-11-15,163445000,592979000,,,0.2756337070958668,
2011-09-30,2011-11-18,172134000,810949000,,,0.21226242340763724,
2012-09-30,2012-11-16,324969000,1218834000,,,0.26662285430173427,
2013-09-30,2013-11-15,302789000,-336381000,,,-0.9001370469794667,
2014-09-30,2014-11-14,306910000,-1556099000,,,-0.19723038187159042,
2015-09-30,2015-11-13,447212000,-1038306000,,,-0.43071310384414613,
2016-09-30,2016-11-15,586414000,-651490000,,,-0.9001120508373114,
2017-09-30,2017-11-13,596887000,-2951204000,,,-0.20225203001893466,
2018-09-30,2018-11-09,957062000,-1808471000,,,-0.5292105872861661,
2019-09-30,2019-11-19,889770000,-2894905000,,,-0.30735723624782163,
2020-09-30,2020-11-12,699000000,-3972000000,8.96,,-0.17598187311178248,
2021-09-30,2021-11-16,680000000,-2916000000,10.41,,-0.23319615912208505,
2022-09-30,2022-11-10,866000000,-3773000000,13.4,,-0.22952557646435198,
2023-09-30,2023-11-09,1298000000,-1984000000,22.03,,-0.6542338709677419,
2024-09-30,2024-11-07,1714000000,-6290000000,25.62,,-0.2724960254372019,
2025-09-30,2025-11-12,2074000000,-9686000000,32.08,,-0.2141234771835639,
