fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2013-12-31,2016-03-03,-6019000,-55452000,,,0.10854432662482869,
2014-12-31,2016-03-03,-17037000,-67535000,,,0.2522691937513882,
2015-12-31,2016-03-03,-58020000,178564000,,,-0.3249255169015031,
2016-12-31,2017-03-01,-74216000,230870000,,,-0.32146229479793825,
2017-12-31,2018-02-27,-106782000,558903000,,,-0.19105640871492907,
2018-12-31,2019-02-27,-97084000,1013119000,,,-0.09582684758651254,
2019-12-31,2020-02-26,-98864000,1014025000,-1.38,,-0.09749661004413106,
2020-12-31,2021-03-01,-485136000,15883804000,-5.36,,-0.030542809518425182,
2021-12-31,2022-02-28,-428793000,16045757000,-2.73,,-0.02672313933209882,
2022-12-31,2023-03-01,-13659531000,2307745000,-84.6,,-5.918994949615317,
2023-12-31,2024-02-23,-220368000,2326073000,-1.34,,-0.09473821328909282,
2024-12-31,2025-02-27,-1001245000,1491079000,-5.87,,-0.6714902429717003,
2025-12-31,2026-02-26,-200322000,1385706000,-1.14,,-0.1445631324393486,
