fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-01-03,2012-02-29,113300000,666500000,3.1,,754100000,154900000,33500000,0.16999249812453113,,121400000,,1.1314328582145536
2011-01-02,2012-02-29,120500000,786000000,3.27,,770800000,141800000,31000000,0.15330788804071246,,110800000,,0.9806615776081425
2012-01-01,2012-02-29,255200000,979300000,6.84,,842000000,216600000,41700000,0.26059430205248646,,174900000,,0.859797814765649
2012-12-30,2013-02-26,164100000,1147800000,4.39,,1203000000,189500000,65300000,0.1429691583899634,,124200000,,1.0480920020909565
2013-12-29,2014-02-25,185000000,1471700000,4.87,,1232400000,204100000,72600000,0.12570496704491405,,131500000,,0.8373989264116328
2014-12-28,2015-02-26,217700000,1427300000,5.75,,1393700000,287900000,43500000,0.1525257479156449,,244400000,,0.9764590485532123
2016-01-03,2016-03-01,195800000,1344100000,5.44,,1374400000,210200000,47000000,0.14567368499367606,,163200000,,1.0225429655531582
2017-01-01,2017-03-02,190900000,1554400000,5.37,,1220000000,317000000,87600000,0.12281266083376223,,229400000,,0.7848687596500258
2017-12-31,2018-02-27,227200000,1947300000,6.26,,1899100000,374700000,58500000,0.11667436964001437,,316200000,,0.9752477789760181
2018-12-30,2019-02-25,333800000,2229700000,9.01,,1579600000,446900000,86800000,0.1497062385074225,,360100000,,0.7084361124814997
2019-12-29,2020-02-24,402300000,2714700000,10.73,,1865100000,482100000,88400000,0.14819317051607914,,393700000,,0.687037241684164
2021-01-03,2021-02-26,401900000,3228600000,10.62,,1856200000,618900000,71400000,0.12448119928142229,,547500000,,0.5749241157157902
2022-01-02,2022-02-25,445300000,7622000000,10.05,,6808300000,824600000,101600000,0.058422986092889005,,723000000,,0.8932432432432432
2023-01-01,2023-02-24,788600000,8169200000,16.53,,6181100000,486800000,92600000,0.09653332027615923,,394200000,,0.756634676590119
2023-12-31,2024-02-23,885700000,9221200000,18.49,,5302100000,836100000,114900000,0.09605040558712533,,721200000,,0.574990239882011
2024-12-29,2025-02-21,819200000,9549400000,17.21,,4645100000,1191900000,83700000,0.08578549437661005,,1108200000,,0.4864284667099504
2025-12-28,2026-02-20,894800000,10513900000,18.88,,4771400000,1191300000,117300000,0.0851063829787234,,1074000000,,0.4538182786596791
