fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2011-02-25,302994000,1580241000,7.59,,2253931000,,28668000,0.19173910814869377,,,,1.4263210484982987
2010-12-31,2011-02-25,201094000,1783376000,4.99,,1855877000,,33537000,0.1127602928378536,,,,1.0406537937036273
2011-12-31,2012-02-24,323329000,1980588000,7.92,,1941320000,,45087000,0.16324899474297533,,,,0.9801735646181841
2012-12-31,2013-02-22,-190057000,1778950000,-4.65,,1957960000,,65394000,-0.106836617105596,,,,1.1006267742207483
2013-12-31,2014-02-24,150881000,1913527000,3.45,,2292991000,,63580000,0.07884968437863693,,,,1.1983060599615265
2014-12-31,2015-02-20,187679000,1911309000,4.04,,2063556000,,67571000,0.09819396026492838,,,,1.079655879818491
2015-12-31,2016-02-25,244863000,2009272000,5.1,,1867423000,,61448000,0.12186652678183939,,,,0.9294027886717179
2016-12-31,2017-02-23,237377000,2137517000,4.98,,1751872000,,53135000,0.11105268402543698,,,,0.8195827214473616
2017-12-31,2018-02-22,152530000,2430531000,3.27,,3750961000,,70903000,0.06275583401322592,,,,1.5432681171316063
2018-12-31,2019-02-21,200802000,2539978000,4.29,,3738013000,,80795000,0.07905659025393133,,,,1.471671408177551
2019-12-31,2021-02-25,461466000,2979320000,9.8,,3330500000,,102695000,0.15488970637595156,,,,1.1178725346723413
2020-12-31,2021-02-25,335324000,3336457000,7.09,,3816102000,,90694000,0.10050301862125002,,,,1.1437587836438474
2021-12-31,2022-03-01,485374000,3754748000,10.23,,3116974000,,71618000,0.12926939437746554,,,,0.8301419962138604
2022-12-31,2023-02-23,363139000,4021968000,7.68,,2906095000,,79190000,0.09028888345208116,,,,0.7225554753294905
2023-12-31,2024-02-23,356328000,4440988000,7.53,,3091558000,,91442000,0.08023619969250086,,,,0.6961419395864163
2024-12-31,2025-02-28,69675000,4278140000,1.48,,2819774000,,126434000,0.01628628329133689,,,,0.6591121375177063
2025-12-31,2026-02-27,-905640000,3124768000,-20.25,,3822471000,,95236000,-0.28982631670575226,,,,1.223281536421264
