fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2012-02-29,2013-06-13,-17327,7673,,,-2.258178026847387,
2013-02-28,2013-06-13,-11396607,-5606024,,,2.0329215501039597,
2013-12-31,2015-04-15,22312000,65120000,1.08,,0.3426289926289926,
2014-12-31,2015-04-15,20318000,75258000,0.73,,0.26997794254431423,
2012-12-31,2016-05-27,5892000,47287000,0.29,,0.12460084166895764,
2015-12-31,2016-05-31,-12765000,33139000,-0.5,,-0.3851956908778177,
2016-12-31,2017-03-10,23180000,113565000,0.77,33172144.0,0.20411218245057897,3.423504974535261
2017-12-31,2018-03-14,5449000,120248000,0.16,34836575.0,0.04531468298849045,3.4517744640510726
2018-12-31,2019-03-08,9031000,132356000,0.22,38092996.0,0.06823264528997552,3.474549494610505
2019-12-31,2020-03-06,24535000,186604000,0.55,,0.13148164026494608,
2020-12-31,2021-03-08,24210000,212382000,0.52,,0.11399271124671582,
2021-12-31,2022-03-16,68428000,243862000,1.43,,0.2806013236994694,
2022-12-31,2023-03-07,155743000,348820000,3.28,,0.44648529327446823,
2023-12-31,2024-02-29,182882000,548020000,3.85,,0.3337140980256195,
