fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2007-12-31,2010-02-26,748400000,14463600000,1.69,,,1483500000,175500000,0.05174368760198014,,1308000000,,
2008-12-31,2010-02-26,980900000,14926500000,2.25,,,1420200000,264400000,0.06571533849194386,,1155800000,,
2009-12-31,2010-02-26,850300000,15430900000,2.01,,,1659200000,207500000,0.0551037204570051,,1451700000,,
2010-12-31,2011-02-24,1035600000,15361000000,2.53,,,1497800000,265500000,0.06741748584076558,,1232300000,,
2011-12-31,2012-02-29,1329900000,15038100000,3.46,,,1691000000,266500000,0.08843537414965986,,1424500000,,
2012-12-31,2013-02-27,1177900000,15464700000,3.21,,,2039500000,315100000,0.07616701261582831,,1724400000,,
2013-12-31,2014-02-27,1273300000,16856100000,3.48,,,2010700000,282400000,0.07553941896405456,,1728300000,,
2023-12-31,2026-02-26,5995000000,46735000000,15.45,,,8406000000,1479000000,0.12827645233764845,,6927000000,,
2024-12-31,2026-02-26,6335000000,49584000000,16.53,,,8667000000,1400000000,0.12776298806066472,,7267000000,,
2025-12-31,2026-02-26,6704000000,53407000000,17.74,,,7818000000,1525000000,0.12552661636115117,,6293000000,,
