fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2012-12-31,2013-02-28,1133000000,2649000000,11.1,,0.4277085692714232,
2013-12-31,2014-02-27,-126000000,2238000000,-1.11,,-0.05630026809651475,
2014-12-31,2015-02-26,-427000000,1610000000,-3.74,,-0.26521739130434785,
2015-12-31,2016-02-25,-318000000,998000000,,,-0.3186372745490982,
2016-12-31,2017-02-24,-59000000,1017000000,1.0,,-0.05801376597836775,
2017-12-31,2018-03-01,-285000000,829000000,,,-0.34378769601930037,
2018-12-31,2019-02-28,-7000000,683000000,-0.06,,-0.010248901903367497,
2019-12-31,2020-03-16,-109000000,748000000,-0.78,,-0.14572192513368984,
2020-12-31,2021-02-23,969000000,1698000000,6.69,,0.5706713780918727,
2021-12-31,2022-02-22,286000000,1994000000,1.81,,0.14343029087261785,
2022-12-31,2023-02-22,497000000,2357000000,3.16,,0.21086126431904964,
2023-12-31,2024-02-21,-316000000,1936000000,-2.02,,-0.16322314049586778,
2024-12-31,2025-02-19,-48000000,1761000000,-0.31,,-0.027257240204429302,
2025-12-31,2026-02-20,-470000000,1418000000,-2.97,,-0.3314527503526093,
