fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-09-30,2011-12-12,-2291000,85408000,-0.5,,657279000,6044000,-484000,-0.026824185088047958,,6528000,,7.695754496065942
2011-09-30,2011-12-12,1089000,86205000,0.0,7045036.0,652019000,10699000,-1015000,0.012632677918914216,12.236275300793354,11714000,1.662731035015293,7.563586798909576
2012-09-30,2012-12-18,4590000,90319000,0.52,7045036.0,646635000,15388000,-1436000,0.050819871787774445,12.820232572267907,16824000,2.3880644470801853,7.159457035618198
2013-09-30,2013-12-11,4757000,89688000,0.58,,655960000,11572000,1302000,0.05303942556417804,,10270000,,7.313798947462314
2014-09-30,2014-12-11,5850000,82778000,0.8,,662787000,8623000,1189000,0.0706709512189229,,7434000,,8.006801324023291
2015-09-30,2015-12-07,8292000,89187000,1.17,,726628000,7552000,700000,0.09297319116014666,,6852000,,8.147241189859509
2016-09-30,2016-12-09,10154000,96834000,1.43,,794554000,11653000,640000,0.10485986327116509,,11013000,,8.205320445298138
2017-09-30,2017-12-08,14167000,111000000,1.92,,841024000,13859000,3526000,0.12763063063063063,,10333000,,7.5767927927927925
2018-09-30,2018-12-07,16721000,124657000,2.22,,893633000,21450000,2186000,0.13413606937436326,,19264000,,7.168735008864323
2019-09-30,2019-12-09,24020000,171067000,2.84,,1076065000,18108000,2151000,0.14041282070767594,,15957000,,6.290313152156758
2020-09-30,2020-12-09,24269000,187630000,2.88,,1378348000,33856000,1986000,0.12934498747535042,,31870000,,7.346096040078879
2021-09-30,2021-12-08,27583000,206899000,3.27,,1585281000,29635000,895000,0.1333162557576402,,28740000,,7.662100831806824
2022-09-30,2022-12-09,23600000,218569000,2.82,,1641939000,26500000,911000,0.10797505593199401,,25589000,,7.512222684827217
2023-09-30,2023-12-11,27118000,233073000,3.29,,1606832000,30997000,1106000,0.11634981314867016,,29891000,,6.89411471942267
2024-09-30,2024-12-11,24283000,245413000,3.01,,1678062000,23020000,1309000,0.09894748851935309,,21711000,,6.837706233981085
2025-09-30,2025-12-09,29161000,262614000,3.67,,1750165000,30158000,1735000,0.11104130015916897,,28423000,,6.664400983953636
