fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-14,-294843,2963231,-0.01,,-0.09950051143498431,
2010-12-31,2012-03-14,805213,4888673,0.01,,0.1647099325317934,
2011-12-31,2012-03-14,636920,6768373,0.01,,0.09410237881393357,
2012-12-31,2013-03-18,-558536,11345832,-0.01,,-0.04922829810982571,
2013-12-31,2014-03-17,-1641170,11001855,-0.03,,-0.14917211688392548,
2014-12-31,2015-03-16,-1595455,12995534,,,-0.12276948373187281,
2015-12-31,2016-03-30,-838531,12459953,,,-0.06729808691894745,
2016-12-31,2017-03-31,-1309200,11342253,,,-0.11542680277013746,
2017-12-31,2018-04-02,-1134394,10376609,,,-0.10932222655782828,
2018-12-31,2019-04-01,873225,11424834,,,0.07643218273455876,
2019-12-31,2020-04-14,-3672891,8467142,,,-0.43378167036764,
2020-12-31,2021-03-31,-3286804,7186389,,,-0.4573651662886604,
2021-12-31,2023-07-18,-60469,32368803,,,-0.0018681259235937763,
2022-12-31,2023-07-18,428661,31869255,,,0.013450612510395992,
2023-12-31,2024-04-12,-6348287,25520968,-0.06,,-0.24874789232132574,
2024-12-31,2025-03-20,-1730404,28600673,-0.02,,-0.060502212657723126,
2025-12-31,2026-03-19,-4339526,140955189,-0.04,,-0.03078656437401535,
