fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-23,2547000,35581000,0.52,,387854000,6631000.0,1404000,0.07158314830949102,,5227000.0,,10.900593013124983
2011-12-31,2012-03-23,3091000,36182000,0.62,0.0,379384000,6237000.0,1489000,0.0854292189486485,inf,4748000.0,,10.485434746559063
2012-12-31,2013-03-21,2398000,36626000,0.48,,401728000,5599000.0,1527000,0.06547261508218205,,4072000.0,,10.968383115819364
2013-12-31,2014-03-19,2612000,38871000,0.53,0.0,350171000,7170000.0,1318000,0.06719662473309151,inf,5852000.0,,9.008541071750148
2014-12-31,2015-03-16,2651000,40390000,0.53,,361422000,,309000,0.06563505818271849,,,,8.94830403565239
2015-12-31,2016-03-16,3224000,41496000,0.64,,363628000,,1310000,0.07769423558897243,,,,8.762965105070368
2016-12-31,2017-03-20,3580000,42641000,0.71,,395377000,4177000.0,2257000,0.0839567552355714,,1920000.0,,9.2722262611102
2017-12-31,2018-03-20,3546000,43895000,0.71,,415437000,4567000.0,782000,0.08078368834719216,,3785000.0,,9.464335345711357
2018-12-31,2019-03-20,4282000,50643000,0.82,,542570000,5755000.0,785000,0.08455265288391288,,4970000.0,,10.713622810654977
2019-12-31,2020-03-20,6810000,59922000,1.19,,625784000,8617000.0,1336000,0.11364774206468409,,7281000.0,,10.44330963585995
2020-12-31,2022-03-18,7953000,68328000,1.39,,625074000,9370000.0,2519000,0.11639445029855988,,6851000.0,,9.148138391289077
2021-12-31,2022-03-18,9451000,71701000,1.62,,652755000,8192000.0,777000,0.13181127180931926,,7415000.0,,9.103847924017796
2022-12-31,2023-03-17,8657000,59737000,1.5,,697663000,8481000.0,511000,0.14491855968662637,,7970000.0,,11.678909218742152
2023-12-31,2024-03-20,8950000,63593000,1.57,,755856000,9463000.0,1081000,0.14073876055540704,,8382000.0,,11.885836491437736
2024-12-31,2025-03-14,7402000,63457000,1.27,,753199000,8448000.0,9695000,0.11664591770805427,,-1247000.0,,11.869439147769356
2025-12-31,2026-03-18,7753000,70515000,1.34,,786930000,10456000.0,11778000,0.10994823796355385,,-1322000.0,,11.15975324399064
