fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2008-12-31,2011-02-25,86954000,736712000,2.0,,,113940000.0,2428000,0.11802984069758603,,111512000.0,,
2009-12-31,2011-02-25,67298000,761550000,1.55,,7043551000.0,53657000.0,4947000,0.08836977217516906,,48710000.0,,9.248967237870133
2010-12-31,2011-02-25,71947000,793012000,1.65,,6362707000.0,100824000.0,3262000,0.0907262437390607,,97562000.0,,8.023468749527119
2011-12-31,2012-02-29,75610000,968844000,1.61,,7482626000.0,118567000.0,7994000,0.07804145971900533,,110573000.0,,7.723251627713027
2012-12-31,2013-02-28,82607000,992251000,1.64,,7427762000.0,129439000.0,5207000,0.08325212068317392,,124232000.0,,7.485769225730183
2013-12-31,2014-03-03,85628000,1041732000,1.7,,7693592000.0,142199000.0,5995000,0.08219772455871567,,136204000.0,,7.385385108645986
2014-12-31,2015-03-02,129888000,1656160000,1.92,,10672651000.0,,8876000,0.07842720510095642,,,,6.444214930924549
2015-12-31,2016-02-29,137959000,1712635000,1.98,,10865309000.0,,5263000,0.08055364978527241,,,,6.344205858224315
2016-12-31,2017-03-01,147083000,2235747000,1.99,,12273145000.0,170734000.0,7271000,0.06578696068920142,,163463000.0,,5.4895052973346266
2017-12-31,2018-03-01,150581000,3240530000,1.54,,15818429000.0,253928000.0,14357000,0.046468016034414125,,239571000.0,,4.881432666878566
2018-12-31,2019-03-01,256342000,3251624000,2.45,,15998874000.0,292533000.0,5776000,0.07883506826127498,,286757000.0,,4.920271839548484
2019-12-31,2020-03-02,260099000,3363833000,2.55,,16298491000.0,147694000.0,11083000,0.07732220951515727,,136611000.0,,4.845214075728492
2020-12-31,2021-03-01,289023000,4297620000,2.4,,21886627000.0,140447000.0,19025000,0.06725187429321346,,121422000.0,,5.092732023771297
2021-12-31,2022-03-01,367738000,4718628000,2.83,,24610274000.0,609539000.0,15380000,0.07793324669798085,,594159000.0,,5.215557149239143
2022-12-31,2023-03-01,379627000,4516193000,2.8,,24973187000.0,760822000.0,16862000,0.08405907364897824,,743960000.0,,5.529698797194894
2023-12-31,2024-02-29,366313000,4771240000,2.71,,25155242000.0,435237000.0,11687000,0.07677521985898844,,423550000.0,,5.2722650715537265
2024-12-31,2025-02-28,372996000,4993223000,2.75,,25030322000.0,445454000.0,12128000,0.0747004489885591,,433326000.0,,5.012858828856633
2025-12-31,2026-02-27,464603000,5495983000,3.27,,28164298000.0,498906000.0,17714000,0.08453501402751791,,481192000.0,,5.124524220689911
