fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-03-15,3689388,55971862,0.32,,,,,0.06591504852920563,,,,
2010-12-31,2012-03-15,6668915,71927753,0.52,,116852762.0,,,0.09271685436913343,,,,1.6245851861937075
2011-12-31,2012-03-15,3696263,105877205,0.14,,118067331.0,,,0.034910847901585614,,,,1.1151345655563916
2012-12-31,2013-03-11,6474057,174985248,0.11,,125295967.0,,,0.03699773023152215,,,,0.7160373141854792
2013-12-31,2014-03-12,5836823,190585737,-0.09,,217394237.0,,,0.0306257073161776,,,,1.1406637265830653
2014-12-31,2015-03-11,4237803,208827105,-0.15,,269441871.0,24326461.0,,0.020293357033321895,,,,1.2902629234839988
2015-12-31,2016-03-09,2144205,246238425,-0.24,,357790556.0,25708212.0,,0.00870784078480034,,,,1.4530248721335834
2016-12-31,2017-03-08,11534559,317031967,,,363412851.0,29353412.0,,0.036382952511536476,,,,1.1462971839682021
2017-12-31,2018-03-08,12668034,421215464,0.39,,402665862.0,41341162.0,,0.03007494995482882,,,,0.9559617260395739
2018-12-31,2019-03-07,-36215571,424698040,-0.98,,454287884.0,40175186.0,,-0.08527369469376407,,,,1.0696726643711376
2019-12-31,2020-03-05,27750000,546339000,0.69,,479114000.0,38516000.0,,0.050792639734670235,,,,0.876953686264389
2020-12-31,2021-03-10,5055000,501808000,0.12,,585406000.0,69037000.0,,0.010073573956573031,,,,1.1665935975512547
2021-12-31,2022-02-24,51088000,742140000,1.08,,528680000.0,65163000.0,,0.06883876357560569,,,,0.7123723286711402
