fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2013-12-31,2015-03-31,-9197000,-15882000,,,60191000,-239000,263000,0.57908323888679,,-502000,,
2014-12-31,2015-03-31,-20117000,71397000,,,64369000,1177000,861000,-0.2817625390422567,,316000,,0.9015644915052453
2015-12-31,2016-03-30,-13664000,60270000,,,62144000,-1503000,956000,-0.2267131242740999,,-2459000,,1.031093412974946
2016-12-31,2017-03-30,-13513000,59013000,,,91575000,3875000,670000,-0.2289834443258265,,3205000,,1.5517767271618117
2017-12-31,2018-03-09,-18725000,91415000,-0.19,,189844000,7716000,396000,-0.204835092709074,,7320000,,2.076727014166165
2018-12-31,2019-03-15,-10839000,87307000,0.09,,395891000,7347000,935000,-0.12414812099831629,,6412000,,4.534470317385777
2019-12-31,2020-03-02,-45371000,212861000,-0.78,,683967000,12076000,1040000,-0.2131484865710487,,11036000,,3.213209559289865
2020-12-31,2021-02-25,-51219000,306615000,-1.92,,704605000,35620000,1114000,-0.16704662198522577,,34506000,,2.298012165093032
2021-12-31,2022-02-24,-58212000,316288000,-1.92,,712719000,41738000,1115000,-0.18404745042492918,,40623000,,2.253386154390935
2022-12-31,2023-03-01,-68413000,308870000,-2.23,,692298000,29979000,866000,-0.22149447987826593,,29113000,,2.2413895813772786
2023-12-31,2024-02-22,-179874000,126294000,-5.77,,626092000,49943000,1220000,-1.424248182811535,,48723000,,4.957416821068301
2024-12-31,2025-03-12,-112732000,-18305000,-4.26,,424597000,24239000,882000,6.1585359191477735,,23357000,,
2025-12-31,2026-03-03,-38904000,-48368000,-1.56,,332467000,25800000,1352000,0.8043334435990738,,24448000,,
