fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2008-12-31,2010-02-26,3003000000,6780000000,0.4429203539823009
2009-12-31,2010-02-26,2152000000,7630000000,0.2820445609436435
2010-12-31,2011-02-28,3488000000,7979000000,0.4371475122195764
2011-12-31,2012-02-27,3804000000,7035000000,0.540724946695096
2012-12-31,2013-02-28,807000000,4653000000,0.17343649258542876
2013-12-31,2014-02-28,4372000000,6474000000,0.6753166512202656
2014-12-31,2015-02-27,3032000000,2141000000,1.4161606725829052
2015-12-31,2016-02-25,4844000000,2470000000,1.9611336032388664
2016-12-31,2017-02-21,3431000000,405000000,8.471604938271605
2017-12-31,2018-02-21,4910000000,1000000000,4.91
2018-12-31,2019-02-21,4791000000,3021000000,1.585898709036743
2019-12-31,2020-02-20,4440000000,3267000000,1.3590449954086317
2020-12-31,2021-02-22,1343000000,657000000,2.0441400304414
2021-12-31,2022-02-22,12890000000,14253000000,0.9043710096120116
2022-12-31,2023-02-21,11548000000,19786000000,0.5836450015162236
2023-12-31,2024-02-20,6708000000,17306000000,0.3876112330983474
2024-12-31,2025-02-18,5782000000,16718000000,0.34585476731666465
2025-12-31,2026-02-17,5572000000,16227000000,0.3433783200838109
