fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2008-12-31,2011-02-03,9700000,139500000,,,,47300000.0,28300000,0.06953405017921147,,19000000.0,,
2009-12-31,2011-02-03,10000000,193100000,,,,50900000.0,58700000,0.05178663904712584,,-7800000.0,,
2010-12-31,2011-02-03,9600000,189000000,,,,25900000.0,49600000,0.050793650793650794,,-23700000.0,,
2011-12-31,2012-02-01,16400000,191700000,,,,45900000.0,57100000,0.08555033907146584,,-11200000.0,,
2012-12-31,2013-01-30,18200000,260400000,,,,66700000.0,68500000,0.06989247311827956,,-1800000.0,,
2013-12-31,2014-01-29,21600000,265000000,,,,96300000.0,89500000,0.08150943396226415,,6800000.0,,
2014-12-31,2015-01-28,24700000,273300000,,,,,92600000,0.09037687522868643,,,,
2015-12-31,2016-01-28,26300000,282800000,,,,,103900000,0.092998585572843,,,,
2016-12-31,2017-02-02,27100000,293100000,,,,68300000.0,98100000,0.09245991129307404,,-29800000.0,,
2017-12-31,2018-02-01,29000000,336800000,,,,86200000.0,119300000,0.08610451306413301,,-33100000.0,,
2018-12-31,2019-01-31,33000000,351300000,,,,78500000.0,102400000,0.09393680614859094,,-23900000.0,,
2019-12-31,2020-01-30,44200000,376800000,,,,104900000.0,119200000,0.1173036093418259,,-14300000.0,,
2020-12-31,2021-02-02,32200000,389200000,2.15,,,75700000.0,122600000,0.08273381294964029,,-46900000.0,,
2021-12-31,2022-02-01,36100000,448500000,2.35,,,107800000.0,115000000,0.08049052396878484,,-7200000.0,,
2022-12-31,2023-02-14,41400000,467600000,2.59,,,97700000.0,122100000,0.0885372112917023,,-24400000.0,,
2023-12-31,2024-02-13,45200000,489300000,2.82,,,107000000.0,141000000,0.09237686490905375,,-34000000.0,,
2024-12-31,2025-02-10,47100000,512500000,2.93,,,125900000.0,169900000,0.09190243902439024,,-44000000.0,,
2025-12-31,2026-02-09,50200000,609600000,2.97,,,131300000.0,185100000,0.0823490813648294,,-53800000.0,,
