fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-21,67000000,1904000000,2.0,,1738000000,379000000,24000000,0.0351890756302521,,355000000,,0.9128151260504201
2011-12-30,2012-03-21,-178000000,1134000000,-5.29,,1712000000,321000000,15000000,-0.15696649029982362,,306000000,,1.509700176366843
2012-12-28,2013-02-22,16000000,1151000000,0.44,,1453000000,163000000,17000000,0.013900955690703735,,146000000,,1.262380538662033
2014-01-03,2014-02-27,80000000,1209000000,2.18,,1423000000,162000000,22000000,0.06617038875103391,,140000000,,1.1770057899090156
2015-01-02,2015-02-26,81000000,1080000000,2.33,,1460000000,291000000,15000000,0.075,,276000000,,1.3518518518518519
2016-01-01,2016-02-25,122799000,976267000,3.82,,1418759000,118414000,35735000,0.12578423730393426,,82679000,,1.4532489575085503
2016-12-30,2017-02-23,137348000,907819000,4.83,,1483600000,141379000,34770000,0.15129447610151361,,106609000,,1.6342464742421121
2017-12-31,2018-02-27,226778000,1045020000,8.18,,1861173000,142172000,26297000,0.21700828692273832,,115875000,,1.780992708273526
2018-12-31,2019-03-01,55000000,3461000000,1.61,,5552000000,97000000,40000000,0.015891360878358855,,57000000,,1.6041606472117884
2019-12-31,2020-03-02,138000000,3019000000,3.09,,6183000000,382000000,46000000,0.04571050016561776,,336000000,,2.0480291487247433
2020-12-31,2021-03-01,-275000000,2651000000,-6.65,,6216000000,299000000,41000000,-0.1037344398340249,,258000000,,2.3447755563938135
2021-12-31,2022-03-01,49000000,2976000000,1.13,,6627000000,343000000,47000000,0.01646505376344086,,296000000,,2.2268145161290325
2022-12-31,2023-02-27,391000000,2496000000,8.77,,7141000000,522000000,65000000,0.15665064102564102,,457000000,,2.8609775641025643
2023-12-31,2024-02-27,254000000,2382000000,6.28,,7298000000,232000000,118000000,0.10663308144416457,,114000000,,3.063811922753988
2024-12-31,2025-02-28,218000000,2442000000,5.61,,7367000000,205000000,57000000,0.08927108927108927,,148000000,,3.0167895167895167
2025-12-31,2026-03-02,-308000000,1993000000,-8.84,,7764000000,28000000,57000000,-0.1545408931259408,,-29000000,,3.895634721525339
