fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-12-31,2013-03-14,-19087000,79390000,-1.96,,-0.2404207078977201,
2011-12-31,2013-03-14,-38730000,93763000,-2.98,,-0.4130627219692203,
2012-12-31,2013-03-14,27887000,68503000,2.02,,0.40709166021926046,
2013-12-31,2014-03-31,111606000,54409000,7.95,,2.0512415225422265,
2014-12-31,2015-03-16,-12107000,89669000,-0.72,,-0.13501879133256756,
2015-12-31,2016-03-15,-35565000,94030000,-1.5,,-0.37823035201531424,
2016-12-31,2017-03-09,-94549000,44215000,-2.83,,-2.1383919484337897,
2017-12-31,2018-03-14,-46911000,73171000,,,-0.6411146492462861,
2018-12-31,2019-03-12,162000000,88100000,,,1.8388195232690125,
2019-12-31,2020-03-16,-31500000,349800000,-0.7,,-0.09005145797598628,
2020-12-31,2021-03-10,-92000000,559800000,-1.88,,-0.16434440871739908,
2021-12-31,2022-03-09,-227500000,-84300000,-2.98,,2.698695136417556,
2022-12-31,2023-03-14,-35900000,-121300000,-0.53,,0.2959604286892003,
2023-12-31,2024-03-06,-35200000,-165500000,-0.48,,0.21268882175226586,
2024-12-31,2025-03-31,-34600000,-180400000,-3.08,,0.1917960088691796,
2025-12-31,2026-03-26,-60600000,-240100000,-4.84,,0.2523948354852145,
