fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-06-30,2013-03-18,-14558000,14781000,,,-0.9849130640687369,
2010-12-31,2013-03-18,-19088000,2922000,,,-6.532511978097194,
2011-12-31,2013-03-18,-19668000,-12971000,,,1.5163056048107317,
2012-12-31,2013-03-18,-270354000,-32100000,,,8.422242990654206,
2013-12-31,2014-03-13,-285976000,3894000,,,-73.44016435541859,
2014-12-31,2015-03-25,-19920000,35641000,,,-0.5589068769114223,
2015-12-31,2016-03-14,-16340000,22130000,,,-0.7383642114776322,
2016-12-31,2017-03-13,-19566000,24708000,,,-0.7918892666342885,
2017-12-31,2018-03-05,-17286000,22540000,,,-0.7669032830523513,
2018-12-31,2019-02-26,-8137000,102231000,-0.2,,-0.07959425223268872,
2019-12-31,2020-02-25,-9665000,111091000,-0.22,,-0.08700074713523148,
2020-12-31,2021-02-24,2864000,134260000,0.06,,0.02133174437658275,
2021-12-31,2022-02-24,-7471000,170462000,-0.16,,-0.04382794992432331,
2022-12-31,2023-02-23,-16709000,192272000,-0.35,,-0.08690292918365648,
2023-12-31,2024-02-29,-3182000,225952000,-0.07,,-0.014082637020252088,
2024-12-31,2025-02-27,10362000,291967000,0.2,,0.03549031226131721,
2025-12-31,2026-02-26,16518000,354640000,0.32,,0.046576810286487705,
