fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2012-01-31,2014-03-18,4230000,14103000,0.02,,,4736000.0,650000.0,0.2999361837906828,,4086000.0,,
2013-01-31,2014-03-18,18783000,33966000,0.11,,55854000.0,30799000.0,964000.0,0.5529941706412295,,29835000.0,,1.6444091149973503
2014-01-31,2014-03-18,23615000,280096000,0.15,,90212000.0,41753000.0,1860000.0,0.08431037929852622,,39893000.0,,0.3220752884725237
2015-01-31,2015-04-01,40383000,406833000,0.28,,138057000.0,,26531000.0,0.09926185928870077,,,,0.33934562830448856
2016-01-31,2016-03-31,54460000,505249000,0.38,,200550000.0,,21153000.0,0.10778843698849479,,,,0.39693299739336446
2017-01-31,2017-03-30,68804000,652978000,0.47,,264722000.0,144011000.0,6923000.0,0.10536955303241456,,137088000.0,,0.40540722658343775
2018-01-31,2018-03-30,141966000,871527000,0.92,,325481000.0,233438000.0,9633000.0,0.16289340433514968,,223805000.0,,0.3734606042038858
2019-01-31,2019-03-28,229832000,1237749000,1.47,,416017000.0,310827000.0,8440000.0,0.18568546611631276,,302387000.0,,0.33610772458713356
2020-01-31,2020-03-30,301118000,1665594000,1.9,,606183000.0,437375000.0,3113000.0,0.18078715461270875,,434262000.0,,0.3639440343805273
2021-01-31,2021-03-30,379998000,2266320000,2.36,,779747000.0,551246000.0,,0.16767182039606057,,,,0.344058650146493
2022-01-31,2022-03-30,427390000,2911637000,2.63,,904828000.0,764463000.0,,0.14678684190371258,,,,0.3107626397109255
2023-01-31,2023-03-30,487706000,3716252000,3.0,,1088044000.0,780470000.0,,0.13123598722583937,,,,0.2927799298863479
2024-01-31,2024-03-25,525705000,4644824000,3.22,,1266096000.0,911339000.0,,0.11318082235193411,,,,0.2725821258243585
2025-01-31,2025-03-24,714138000,5832373000,4.32,,1507383000.0,1090051000.0,,0.12244381489318328,,,,0.2584510627149532
2026-01-31,2026-03-20,908906000,7214752000,5.44,,1764591000.0,1415225000.0,,0.12597882782388084,,,,0.2445809641135274
