fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-09-30,2011-12-02,6535379,12954391,0.24,,,5747114.0,1643593,0.5044914114449688,,4103521.0,,
2010-09-30,2011-12-02,6737078,16132130,0.24,,2235971.0,3991855.0,51133,0.4176186281662744,,3940722.0,,0.13860358179608023
2011-09-30,2011-12-02,5399051,16752590,0.19,,2690201.0,6968155.0,46287,0.32228156959610427,,6921868.0,,0.16058418429627896
2012-09-30,2012-12-04,15299321,24218190,0.53,,6228237.0,10356054.0,718303,0.6317285065481772,,9637751.0,,0.2571718613158126
2013-09-30,2013-12-03,14342598,31402957,0.5,,3766996.0,11793081.0,302198,0.45672762600031586,,11490883.0,,0.11995672891568777
2014-09-30,2014-12-02,2433061,28065326,0.08,,3607828.0,,97311,0.08669277527722286,,,,0.12855108114546754
2015-09-30,2015-12-02,4346036,33133062,0.15,,4338649.0,,135424,0.1311691626931432,,,,0.13094621318126287
2016-09-30,2016-12-12,344725,33933411,0.01,,4690296.0,,6374,0.010158866728723499,,,,0.1382205873733118
2017-09-30,2018-01-02,-6612047,48453205,-0.25,,6853161.0,982888.0,133486,-0.13646253121955504,,849402.0,,0.14143875518657642
2018-09-30,2018-12-13,-23938389,29481418,,,18971221.0,-11546191.0,50654,-0.8119822798211402,,-11596845.0,,0.643497575320156
2019-09-30,2019-12-12,-12017366,32333136,,,21295634.0,-5485207.0,108517,-0.3716733817591959,,-5593724.0,,0.6586318753615485
2020-09-30,2020-12-10,-18973535,30111316,-0.28,,21432359.0,-1930095.0,105760,-0.6301131109646619,,-2035855.0,,0.711770916953613
2021-09-30,2021-12-02,7394374,152293944,0.09,,25852779.0,-15571024.0,376649,0.04855330294683287,,-15947673.0,,0.16975579147126166
2022-09-30,2022-12-05,-83776020,80838636,-1.05,,55287381.0,-47505004.0,733052,-1.0363363874670029,,-48238056.0,,0.6839227346686058
2023-09-30,2023-12-08,-93088953,17783219,-1.1,,32812706.0,-88013814.0,665700,-5.234651443026148,,-88679514.0,,1.8451499697551945
2024-09-30,2024-12-16,-37801426,32316712,,,28102060.0,-21682333.0,158322,-1.1697175752285691,,-21840655.0,,0.8695828956856749
2025-09-30,2025-12-17,-22726279,18332670,,,11503049.0,-30043088.0,1083,-1.2396600713371266,,-30044171.0,,0.6274617390701954
