fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-14,-5952000,38837000,-0.16,,-0.15325591575044417,
2010-12-31,2012-03-14,-20020000,58342000,-0.42,,-0.34314901786020363,
2011-12-31,2012-03-14,-24654000,141223000,0.74,,-0.17457496300177733,
2012-12-31,2013-03-14,-100384000,101343000,-0.95,,-0.9905370869226291,
2013-12-31,2014-03-17,-59488000,43013000,-0.73,,-1.3830237370097413,
2014-12-31,2015-03-03,-18926000,25283000,-0.23,,-0.7485662302733062,
2015-12-31,2016-02-26,1011000,27065000,0.01,,0.03735451690375023,
2016-12-31,2018-03-06,-3133000,40525000,-0.04,,-0.07731030228254164,
2017-12-31,2018-03-06,-12035000,29083000,-0.12,,-0.41381563112471204,
2018-12-31,2019-02-25,-8714000,21254000,-0.09,,-0.4099934130046109,
2019-12-31,2020-02-27,-9386000,12646000,-0.09,,-0.7422109758026253,
2020-12-31,2021-02-26,420000,15851000,0.0,,0.026496750993628162,
2021-12-31,2022-02-24,-15237000,14294000,-0.14,,-1.0659717363928922,
2022-12-31,2023-02-23,-4931000,10029000,-0.04,,-0.4916741449795593,
2023-12-31,2024-03-14,-6585000,4951000,-0.05,,-1.3300343364976772,
2024-12-31,2025-02-28,11249000,17907000,0.09,,0.6281900932596192,
2025-12-31,2026-03-11,-7499000,15107000,-0.06,,-0.4963924008737671,
