fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2012-12-31,2014-03-10,473000000,13874900000,,,0.034090335786203865,
2013-12-31,2014-03-10,600500000,13272200000,,,0.0452449480869788,
2014-12-31,2015-02-27,2299700000,16107900000,,,0.1427684552300424,
2015-12-31,2016-02-25,408300000,13435800000,1.8,,0.030388960835975528,
2016-12-31,2017-02-23,-428000000,12993900000,-1.61,,-0.03293853269611125,
2017-12-31,2018-02-23,-2992000000,10009000000,-16.25,,-0.2989309621340793,
2018-12-31,2019-02-22,875000000,8213000000,5.2,,0.10653841470838914,
2019-03-31,2020-02-21,74000000,8997000000,0.42,,0.008224963876847837,
2019-06-30,2020-02-21,226000000,10002000000,1.51,,0.022595480903819236,
2019-09-30,2020-02-21,121000000,10500000000,0.74,,0.011523809523809523,
2019-12-31,2020-02-21,-351000000,9408000000,-2.58,,-0.03730867346938776,
2020-03-31,2021-03-01,-86000000,7356000000,-0.73,,-0.011691136487221317,
2020-06-30,2021-03-01,-62000000,9482000000,-0.51,,-0.0065387049145749845,
2020-09-30,2021-03-01,-319000000,9511000000,-2.64,,-0.033540111449900115,
2020-12-31,2021-03-01,-206000000,10110000000,-1.84,,-0.020375865479723046,
2021-12-31,2022-02-22,2126000000,8253000000,16.61,,0.2576032957712347,
2022-12-31,2023-02-24,510000000,4469000000,4.3,,0.1141194898187514,
2023-12-31,2024-02-23,625000000,4193000000,5.42,,0.14905795373241115,
2024-12-31,2025-02-21,667000000,4005000000,6.17,,0.166541822721598,
2025-12-31,2026-02-20,654000000,4953000000,6.29,,0.13204118715929739,
