fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2016-12-31,2018-03-14,-40959,-15959,,,434186.0,-171815,,2.5665141926185853,,,,
2017-12-31,2018-03-14,1424506,5000002,0.3,,15009045.0,2428826,15873607.0,0.2849010860395656,,-13444781.0,,3.00180779927688
2018-12-31,2019-03-18,-58394516,302056132,-0.67,,1042727063.0,46016827,26576364.0,-0.19332339195815432,,19440463.0,,3.452096986397217
2017-05-31,2020-03-02,1240000,76745000,,,,41833000,8953000.0,0.016157404391165548,,32880000.0,,
2019-12-31,2020-03-02,33343000,339347000,0.21,,1068079000.0,133802000,29685000.0,0.09825635706224013,,104117000.0,,3.147453786242401
2020-12-31,2021-03-01,-3445000,346438000,-0.02,,1020887000.0,46909000,24260000.0,-0.009944059254469775,,22649000.0,,2.946810107436251
2021-12-31,2022-04-22,41449000,259964000,0.25,,1577092000.0,193171000,24998000.0,0.15944130725792802,,168173000.0,,6.066578449323752
2022-12-31,2023-03-01,92475000,231070000,0.5,,1525199000.0,218337000,48186000.0,0.4002034015666248,,170151000.0,,6.600592893928247
2023-12-31,2024-02-29,57015000,421467000,0.36,,1368516000.0,206101000,56985000.0,0.13527749503519848,,149116000.0,,3.247030016584928
2024-12-31,2025-02-27,31448000,265125000,0.19,,1349364000.0,223642000,70856000.0,0.11861574728901461,,152786000.0,,5.089538896746817
2025-12-31,2026-02-24,136633000,292960000,0.85,,1352702000.0,255802000,119094000.0,0.4663879027853632,,136708000.0,,4.617360731840524
