fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-12-31,2012-02-22,-754626000,503973000,-3.77,,-1.4973540249180015,
2011-12-31,2012-02-22,29574000,786843000,0.14,,0.037585642879202075,
2012-12-31,2013-03-01,-107032000,999180000,-0.5,,-0.10711983826737925,
2013-12-31,2014-02-11,-445028000,1356405000,-1.98,,-0.32809374781131007,
2014-12-31,2015-02-13,-738555000,1075006000,-3.14,,-0.6870240724237818,
2015-12-31,2016-02-16,-556334000,939967000,-2.31,,-0.5918654591065431,
2016-12-31,2017-02-23,-112052000,1156582000,-0.46,,-0.09688201960604609,
2017-12-31,2018-02-15,263484000,2028579000,1.04,,0.12988599408748686,
2018-12-31,2019-02-13,2096896000,4435203000,8.09,,0.4727846729901653,
2019-12-31,2020-02-13,1176810000,6085200000,4.51,,0.19338887793334647,
2020-12-31,2021-02-11,2711647000,8686800000,10.29,,0.31215718101026846,
2021-12-31,2022-02-09,2342100000,10100000000,9.01,,0.2318910891089109,
2022-12-31,2023-02-10,3322000000,13912700000,12.82,,0.23877464474904225,
2023-12-31,2024-02-15,3619600000,17580400000,13.89,,0.20588837569111054,
2024-12-31,2025-02-13,-535600000,16409600000,-2.08,,-0.032639430577223086,
2025-12-31,2026-02-13,3953200000,18665800000,15.32,,0.21178840446163572,
