fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-03-08,24024000,101310000,4.67,,,24385000,8775000,0.23713355048859935,,15610000,,
2010-12-31,2012-03-08,23687000,123776000,4.56,,164650000.0,17787000,4805000,0.19136989400206825,,12982000,,1.3302255687693898
2011-12-31,2012-03-08,20552000,143600000,3.93,,310912000.0,34260000,6635000,0.14311977715877439,,27625000,,2.165125348189415
2012-12-31,2013-03-06,21294000,164335000,4.01,,245876000.0,59475000,20863000,0.129576779140171,,38612000,,1.4961876654394985
2013-12-31,2014-03-07,22852000,186803000,4.28,,193726000.0,56598000,4416000,0.12233208246120245,,52182000,,1.037060432648298
2014-12-31,2015-03-06,19365000,205489000,3.61,,149841000.0,49715000,3414000,0.09423862104540875,,46301000,,0.7291923168636764
2015-12-31,2016-03-03,24918000,229309000,4.62,,392825000.0,37574000,10562000,0.10866559969299068,,27012000,,1.7130814752146666
2016-12-31,2017-03-01,26793000,255194000,2.47,,406645000.0,47193000,6546000,0.10499071294779658,,40647000,,1.593473984498068
2017-12-31,2018-03-07,39096000,293095000,3.6,,335918000.0,50420000,3743000,0.13339019771746363,,46677000,,1.1461062112966784
2018-12-31,2019-03-07,35080000,328395000,3.21,,310433000.0,18855000,3117000,0.10682257647040912,,15738000,,0.9453036739292621
2019-12-31,2020-03-09,37024000,363101000,3.35,,482763000.0,17994000,9630000,0.10196611961960997,,8364000,,1.3295556883621913
2020-12-31,2021-03-05,-5171000,356317000,-0.47,,423764000.0,35761000,4427000,-0.01451235837751216,,31334000,,1.1892893126064712
2021-12-31,2022-03-11,7966000,417333000,0.63,,501225000.0,-17602000,10520000,0.019087874670826413,,-28122000,,1.2010193298876437
2022-12-31,2023-03-10,28059000,449526000,2.19,,550263000.0,8051000,11212000,0.062419081432442174,,-3161000,,1.224096047837055
2023-12-31,2024-03-08,39134000,616725000,2.76,,733613000.0,-21829000,18666000,0.06345453808423528,,-40495000,,1.1895301795776074
2024-12-31,2025-03-03,15324000,988186000,0.85,,746434000.0,-31037000,20704000,0.015507202085437356,,-51741000,,0.7553577970139225
2025-12-31,2026-02-27,11703000,1438808000,0.55,,589770000.0,26990000,21281000,0.008133816325736305,,5709000,,0.40990180760740835
